parent_sku,group_number
HDB200-RD,1
HDB200-RD,7
HDB200-WH,1
HDB200-WH,7
HDB201-RD,2
HDB201-RD,8
HDB201-WH,2
HDB201-WH,8
PLA105-GR,2
PLA105-GR,8
PLA172-GR,2
PLA172-GR,8
PLA174-GR,2
PLA174-GR,8
PLA195-GR,2
PLA195-GR,8
PLA309-GR,2
PLA309-GR,8
PLA311-GR,2
PLA311-GR,8
PLA320-GR,2
PLA320-GR,8
PLA328-NA,2
PLA328-NA,8
PLA330-GR,2
PLA330-GR,8
PLA333-GR,2
PLA333-GR,8
PLA340-GR,2
PLA340-GR,7
PLA341-GR,2
PLA341-GR,8
PLA343-GR,2
PLA343-GR,8
PLA350-NA,2
PLA350-NA,7
PLA352-GR,2
PLA352-GR,8
PLA359-NA,2
PLA359-NA,7
PLA360-GB,2
PLA360-GB,8
PLA380-GR,1
PLA380-GR,7
PLA381-GR,2
PLA381-GR,8
PLA399-NA,2
PLA399-NA,8
PLA425-NA,2
PLA425-NA,8
PLA427-NA,2
PLA427-NA,8
PLA474-GC,2
PLA474-GC,8
PLA484-NA,2
PLA484-NA,8
PLA487-GR,2
PLA487-GR,8
PLA488-GB,2
PLA488-GB,8
PLA495-GR,2
PLA495-GR,7
PLA501-GB,2
PLA501-GB,8
PLA502-GB,2
PLA502-GB,8
PLA504-GB,2
PLA504-GB,8
TRA220-05,2
TRA220-06,3
TRA220-07,3
TRA311-05,2
TRA311-06,3
TRA311-07,3
TRC235-06,3
TRC235-07,3
TRC307-05,2
TRC307-65,3
TRC338-05,2
TRC338-06,2
TRC338-07,3
TRF295-06,3
TRF295-07,3
TRF313-05,2
TRF313-06,3
TRF313-07,3
TRM312-05,2
TRM312-06,3
TRM312-07,3
TRM340-05,2
TRM340-06,3
TRM340-07,3
