sku,product_title,sheet_weight_raw,shopify_weight_lb,implied_lb_if_oz
CTB138-BST,"Spun Metallic Tree & Plant Container - 14"" H x 14"" W  - Black Steel",,64,4
CTB138-GLD,"Spun Metallic Tree & Plant Container - 14"" H x 14"" W - Gold",,64,4
CTB138-SST,"Spun Metallic Tree & Plant Container - 14""H x 14"" W - Silver Steel",,64,4
CTD137-BST,"Spun Metallic Tree & Plant Container - 11"" H x 11 W - Black Steel",,48,3
CTD137-GLD,"Spun Metallic Tree & Plant Container -  11"" H x 11"" W - Gold",,48,3
CTD137-SST,"Spun Metallic Tree & Plant Container - 11""H x 11""W  - Silver Steel",,48,3
CTD280-BK,"Newport Decorative Container 11""W x 11""H - Gloss Black",,48,3
CTD280-OY,"Newport Decorative Container 11""W x 11""H - Gloss Oyster",,48,3
CTD280-WH,"Newport Decorative Container 11""W x 11""H - Gloss White",,48,3
FLA156-NA,Baby's Breath & Grass Faux Flower Accent,,32,2
FLB109-MP,Autumn Opulence Silk Flower Centerpiece,,36,2.25
FLB127-MS,"Roses, Forsythia & Peonies Faux Flower Centerpiece",,36,2.25
FLB133-ORB,Cabbage Roses & Cosmos Silk Flower Centerpiece,,32,2
FLB133-PKL,Cabbage Roses & Cosmos Silk Flower Centerpiece,,32,2
FLB140-BLY,Celebration Bouquet Faux Flower Arrangement,,32,2
FLB140-RDO,Celebration Bouquet Faux Flower Arrangement,,32,2
FLB141-MP,Mixed Rose Bouquet Silk Flower Arrangement,,48,3
FLB142-MP,Captivating Roses Silk Flower Centerpiece,,32,2
FLB147-MP,Maui Sunrise Faux Flower Centerpiece,,48,3
FLB184-MP,"Roses, Alstromeria & Berries Silk Flower Centerpiece",,48,3
FLB990-MS,Hydrangea & Seeded Eucalyptus Faux Flower Centerpiece,,16,1
FLC150-MP,"Sunflower, Gerbera Daisy & Delphinium Silk Flower Arrangement",,48,3
FLC152-MVP,Hydrangea Happiness Silk Flower Arrangement,,48,3
FLC167-CRW,Calla Lilies Faux Flower Arrangement,,64,4
FLC180-CRP,Cherry Blossom Festival Faux Flower Arrangement,,48,3
FLC997-MP,"Mums, Alstroemeria & Berries Faux Flower Arrangement",,36,2.25
HDA449-RD,Ilex Berries & Birch Faux Holiday Arrangement,,48,3
HDA453-RD,"Plush Poinsettia, Berries, & Achillea Artificial Holiday Centerpiece",,48,3
HDA524-CHG,Champagne Elegance Holiday Faux Centerpiece,,64,4
HDB447-RD,"Mixed Eucalyptus, Pine & Berries Silk Holiday Accent",,36,2.25
HDB457-RD,Holiday Bliss Artificial Christmas Arrangement,,48,3
HDB528-RDG,"Achillea, Hydrangea & Holly Artificial Holiday Arrangement",,32,2
HDC461-RDG,"Holly, Ivy & Berries 18"" Artificial Holiday Wreaths (Set of 2)",,48,3
HDC462-RDG,"Holly, Ivy & Berries 24"" Artificial Holiday Wreath",,48,3
HDC464-RDG,"Holly, Ivy & Berries 28"" Artificial Holiday Teardrop",,48,3
HDC465-RDG,"Holly, Ivy & Berries 5' Artificial Holiday Garland",,48,3
HDC466-BLS,"Winter Morning 24"" Artificial Holiday Wreath",,48,3
HDC467-BLS,"Winter Morning 30"" Artificial Holiday Wreath",,48,3
HDC468-BLS,Winter Morning Artificial Holiday Teardrop,,48,3
PLA503-NA,Silk Japanese Maple Bush,,72,4.5
PLD363-NA,Mixed Begonia Faux Foliage Planter,,48,3
PLD505-NA,Laurel & Plume Thistle Faux Foliage Arrangement,,36,2.25
WRA234-MP,Apple & Berries Wreath,,16,1
WRA282-MS,Hydrangea & Berries Faux Flower Wreath,,36,2.25
FLB163-NA,Warm Days of Fall Silk Flower Centerpiece,X,48,3
FLB186-MP,"Ginger, Heliconia & Orchid Faux Flower Arrangement",X,72,4.5
FLB434-NA,Cornucopia Artificial Autumn Arrangement,BO,24,1.5
FLB994-MP,Garden Kaleidoscope Silk Flower Centerpiece,BO,16,1
HDA431-RDG,"Slash Pine, Berries & Fern Faux Holiday Arrangement",BO,64,4
HDA433-RDG,Holiday Rhapsody Silk Flower Holiday Arrangement,BO,64,4
HDA435-RD,"Plush Velvet Poinsettia, Pine & Berries Artificial Christmas Bouquet",BO,48,3
HDA525-CHG,Champagne Elegance Faux Holiday Sleigh Arrangement,BO,48,3
HDA530-GRR,"Pine, Berry & Cedar Large Artificial Holiday Centerpiece",BO,64,4
HDA535-CHG,Champagne Elegance Artificial Holiday Centerpiece,BO,48,3
HDD222-05,5' Artificial Norway Spruce  Christmas Tree,BO,128,8
HDD222-06,6' Artificial Norway Spruce  Christmas Tree,BO,128,8
HDD224-GR,"30"" Norway Spruce Artificial Tabletop Tree",DISC,64,4
HDD529-GRR,Jingle Bells Artificial Holiday Tabletop Tree,BO,48,3
PLA359-NA1,Serengeti Grass Faux Foliage Plant  - Old Version,DISC,96,6
PLA360-GB,"Mango, Dracaena & Begonia Faux Foliage Planter",Weigh,128,8
PLA364-NA,Silk Japanese Maple Floor Plant,Weigh,128,8
PLA501-GB,Aspidistra Faux Floor Plant,Weigh,72,4.5
PLA502-GB,Double Aspidistra Faux Floor Plant,Weigh,72,4.5
PLA504-GB,"Aspidistra, Palm & Silver King Silk Foliage Planter",Weigh,72,4.5
PLA506-GR,Fiddle Leaf Silk Plant,Weigh,160,10
PLA507-GR,Faux Areca Palm Plant,Weigh,160,10
WRA283-WG,"Magnolia, Viburnum & Berry Silk Flower Wreath",DISC,36,2.25
