item,variant_sku,status,box,weight,package_gid,notes
ACM104-00,ACM104-00,updated,78,3,gid://shopify/ShippingPackageV2/108967755849,package:#78; weight:3.0lb; was:0 POUNDS
ACM104-00,ACM104-00,updated,78,3,gid://shopify/ShippingPackageV2/108967755849,package:#78; weight:3.0lb; was:0 POUNDS
FLA131,FLA131-RDP,updated,7,BO,gid://shopify/ShippingPackageV2/108966740041,package:#7; was:2 POUNDS
FLA131,FLA131-YEO,updated,7,BO,gid://shopify/ShippingPackageV2/108966740041,package:#7; was:2 POUNDS
FLA136,FLA136-RD,updated,5,3,gid://shopify/ShippingPackageV2/108966674505,package:#5; weight:3.0lb; was:16 POUNDS
FLA136,FLA136-CRW,updated,5,3,gid://shopify/ShippingPackageV2/108966674505,package:#5; weight:3.0lb; was:16 POUNDS
FLA136,FLA136-PE,updated,5,3,gid://shopify/ShippingPackageV2/108966674505,package:#5; weight:3.0lb; was:16 POUNDS
FLA164-MP,FLA164-MP,updated,5,3,gid://shopify/ShippingPackageV2/108966674505,package:#5; weight:3.0lb; was:32 POUNDS
FLA188-CR,FLA188-CR,updated,5,2,gid://shopify/ShippingPackageV2/108966674505,package:#5; weight:2.0lb; was:0 POUNDS
FLA189-MS,FLA189-MS,updated,5,2,gid://shopify/ShippingPackageV2/108966674505,package:#5; weight:2.0lb; was:32 POUNDS
FLA197,FLA197-FU,updated,16,5,gid://shopify/ShippingPackageV2/108966936649,package:#16; weight:5.0lb; was:48 POUNDS
FLA197,FLA197-TTP,updated,16,5,gid://shopify/ShippingPackageV2/108966936649,package:#16; weight:5.0lb; was:48 POUNDS
FLA197,FLA197-WH,updated,16,5,gid://shopify/ShippingPackageV2/108966936649,package:#16; weight:5.0lb; was:48 POUNDS
FLA198-NA,FLA198-NA,updated,8,4,gid://shopify/ShippingPackageV2/108966772809,package:#8; weight:4.0lb; was:24 POUNDS
FLA206,FLA206-MP,updated,7,3,gid://shopify/ShippingPackageV2/108966740041,package:#7; weight:3.0lb; was:36 POUNDS
FLA206,FLA206-PEY,updated,7,3,gid://shopify/ShippingPackageV2/108966740041,package:#7; weight:3.0lb; was:36 POUNDS
FLA206,FLA206-RDO,updated,7,3,gid://shopify/ShippingPackageV2/108966740041,package:#7; weight:3.0lb; was:36 POUNDS
FLA207-NA,,sku_not_found,6,2,gid://shopify/ShippingPackageV2/108966707273,
FLA208-NA,,sku_not_found,11,6,gid://shopify/ShippingPackageV2/108966838345,
FLA216,FLA216-FS,updated,2,2,gid://shopify/ShippingPackageV2/108966641737,package:#2; weight:2.0lb; was:2 POUNDS
FLA216,FLA216-OR,updated,2,2,gid://shopify/ShippingPackageV2/108966641737,package:#2; weight:2.0lb; was:2 POUNDS
FLA216,FLA216-RD,updated,2,2,gid://shopify/ShippingPackageV2/108966641737,package:#2; weight:2.0lb; was:2 POUNDS
FLA216,FLA216-WH,updated,2,2,gid://shopify/ShippingPackageV2/108966641737,package:#2; weight:2.0lb; was:2 POUNDS
FLA216,FLA216-YL,updated,2,2,gid://shopify/ShippingPackageV2/108966641737,package:#2; weight:2.0lb; was:2 POUNDS
FLA306-MS,FLA306-MS,updated,10,4,gid://shopify/ShippingPackageV2/108966805577,package:#10; weight:4.0lb; was:24 POUNDS
FLA397-CR,FLA397-CR,updated,7,3,gid://shopify/ShippingPackageV2/108966740041,package:#7; weight:3.0lb; was:0 POUNDS
FLA597,FLA597-RD,updated,15,4,gid://shopify/ShippingPackageV2/108966903881,package:#15; weight:4.0lb; was:0 POUNDS
FLA597,FLA597-WH,updated,15,4,gid://shopify/ShippingPackageV2/108966903881,package:#15; weight:4.0lb; was:0 POUNDS
FLA615,FLA615-CO,updated,5,3,gid://shopify/ShippingPackageV2/108966674505,package:#5; weight:3.0lb; was:0 POUNDS
FLA615,FLA615-MVL,updated,5,3,gid://shopify/ShippingPackageV2/108966674505,package:#5; weight:3.0lb; was:0 POUNDS
FLA615,FLA615-PK,updated,5,3,gid://shopify/ShippingPackageV2/108966674505,package:#5; weight:3.0lb; was:0 POUNDS
FLA615,FLA615-WH,updated,5,3,gid://shopify/ShippingPackageV2/108966674505,package:#5; weight:3.0lb; was:0 POUNDS
FLA615,FLA615-RD,updated,5,3,gid://shopify/ShippingPackageV2/108966674505,package:#5; weight:3.0lb; was:0 POUNDS
FLA615,FLA615-TP,updated,5,3,gid://shopify/ShippingPackageV2/108966674505,package:#5; weight:3.0lb; was:0 POUNDS
FLA615,FLA615-YE,updated,5,3,gid://shopify/ShippingPackageV2/108966674505,package:#5; weight:3.0lb; was:0 POUNDS
