item,sku,product_name,sheet_weight_raw,sheet_weight_lb,bc_weight_lb,implied_lb_from_div16,ratio,issue_type,detail,product_id,variant_id,shopify_weight_lb,bc_minus_shopify_lb
FLA206,FLA206,Rose Bouquet Silk Flower Accent,3,3.0,36.0,2.25,12.00,div16_near_sheet,was/16=2.25lb vs sheet=3lb,6621,,,
FLA206,FLA206-MP,Rose Bouquet Silk Flower Accent,3,3.0,36.0,2.25,12.00,div16_near_sheet,was/16=2.25lb vs sheet=3lb,6621,6888,3.0,33.00
FLA206,FLA206-PEY,Rose Bouquet Silk Flower Accent,3,3.0,36.0,2.25,12.00,div16_near_sheet,was/16=2.25lb vs sheet=3lb,6621,6889,3.0,33.00
FLA206,FLA206-RDO,Rose Bouquet Silk Flower Accent,3,3.0,36.0,2.25,12.00,div16_near_sheet,was/16=2.25lb vs sheet=3lb,6621,6890,3.0,33.00
HDC522-CHG,HDC522-CHG,Champagne Elegance Artificial Holiday Teardrop,3,3.0,36.0,2.25,12.00,div16_near_sheet,was/16=2.25lb vs sheet=3lb,6564,6811,3.0,33.00
WRA374-YE,WRA374-YE,Silk Forsythia Wreath,3,3.0,36.0,2.25,12.00,div16_near_sheet,was/16=2.25lb vs sheet=3lb,6633,6906,3.0,33.00
FLA189-MS,FLA189-MS,"Roses, Cosmos & Tulips Silk Flower Arrangement",2,2.0,32.0,2.00,16.00,exact_16x,was/sheet=16.00,6596,6849,2.0,30.00
FLB161-NA,FLB161-NA,"Maple, Pomegranate & Pinecone Faux Autumn Centerpiece",3,3.0,48.0,3.00,16.00,exact_16x,was/sheet=16.00,6545,6784,3.0,45.00
FLB183-PK,FLB183-PK,"Tulips, Hydrangea & Berries Silk Flower Arrangement",4,4.0,64.0,4.00,16.00,exact_16x,was/sheet=16.00,6623,6892,4.0,60.00
HDC460-RDG,HDC460-RDG,"Spruce, Berries & Cones Artificial Holiday Wreath",4,4.0,64.0,4.00,16.00,exact_16x,was/sheet=16.00,6492,6700,4.0,60.00
HDC473-GRR,HDC473-GRR,"Pine, Berry & Cedar Artificial Holiday Garland",3,3.0,48.0,3.00,16.00,exact_16x,was/sheet=16.00,6555,6802,3.0,45.00
HDC511-GRR,HDC511-GRR,"Jingle Bells 24"" Artificial Holiday Wreath",3,3.0,48.0,3.00,16.00,exact_16x,was/sheet=16.00,6559,6806,3.0,45.00
HDC514-GRR,HDC514-GRR,Jingle Bells Artificial Holiday Garland,4,4.0,64.0,4.00,16.00,exact_16x,was/sheet=16.00,6561,6808,4.0,60.00
PLA333-GR,PLA333-GR,Papyrus Grass Faux Foliage Plant,8,8.0,128.0,8.00,16.00,exact_16x,was/sheet=16.00,6587,6838,8.0,120.00
PLB407-GR,PLB407-GR,Hanging English Ivy Silk Foliage Planter,4,4.0,64.0,4.00,16.00,exact_16x,was/sheet=16.00,6630,6903,4.0,60.00
PLD362-GR2,PLD362-GR2,Mixed Silk Foliage Planter,4,4.0,64.0,4.00,16.00,exact_16x,was/sheet=16.00,6592,6843,4.0,60.00
PLD416-NA,PLD416-NA,"Maple, Pinecone & Berry Autumn Faux Foliage Accent",3,3.0,48.0,3.00,16.00,exact_16x,was/sheet=16.00,6611,6870,3.0,45.00
PLD508-GR,PLD508-GR,Mini English Ivy Silk Plant,3,3.0,48.0,3.00,16.00,exact_16x,was/sheet=16.00,6512,6734,3.0,45.00
PLD509-GR,PLD509-GR,Faux ZZ Plant,3,3.0,48.0,3.00,16.00,exact_16x,was/sheet=16.00,6513,6735,3.0,45.00
PLD532-GR,PLD532-GR,Desktop Cactus Faux Succulent Planter,3,3.0,48.0,3.00,16.00,exact_16x,was/sheet=16.00,6601,6857,3.0,45.00
PLD533-GC,PLD533-GC,"Fittonia, Laurel & Berries Mixed Faux Foliage Arrangement",3,3.0,48.0,3.00,16.00,exact_16x,was/sheet=16.00,6602,6858,3.0,45.00
WRA358-MP,WRA358-MP,Zinnia & Daisy Silk Flower Teardrop,3,3.0,48.0,3.00,16.00,exact_16x,was/sheet=16.00,6595,6846,3.0,45.00
FLA164-MP,FLA164-MP,Pansy Pitcher Faux Flower Arrangement,3,3.0,32.0,2.00,10.67,multiple_of_16,was=32lb sheet=3lb ratio=10.67,6575,6822,3.0,29.00
FLA197,FLA197,Faux Phalaenopsis Orchid Plant,5,5.0,48.0,3.00,9.60,multiple_of_16,was=48lb sheet=5lb ratio=9.60,6620,,,
FLA197,FLA197-FU,Faux Phalaenopsis Orchid Plant,5,5.0,48.0,3.00,9.60,multiple_of_16,was=48lb sheet=5lb ratio=9.60,6620,6884,5.0,43.00
FLA197,FLA197-TTP,Faux Phalaenopsis Orchid Plant,5,5.0,48.0,3.00,9.60,multiple_of_16,was=48lb sheet=5lb ratio=9.60,6620,6885,5.0,43.00
FLA197,FLA197-WH,Faux Phalaenopsis Orchid Plant,5,5.0,48.0,3.00,9.60,multiple_of_16,was=48lb sheet=5lb ratio=9.60,6620,6886,5.0,43.00
FLA988-MP,FLA988-MP,Sunflower & Daisy Accent,2,2.0,16.0,1.00,8.00,multiple_of_16,was=16lb sheet=2lb ratio=8.00,6359,6446,2.0,14.00
FLA996-NA,FLA996-NA,Harvest Moon Silk Flower Autumn Accent,2,2.0,16.0,1.00,8.00,multiple_of_16,was=16lb sheet=2lb ratio=8.00,6477,6685,2.0,14.00
FLB145-LV,FLB145-LV,Orchid Centerpiece Faux Flower Arrangement,5,5.0,48.0,3.00,9.60,multiple_of_16,was=48lb sheet=5lb ratio=9.60,6527,6761,5.0,43.00
FLB159-MP,FLB159-MP,"Mums, Cosmos & Daisies Silk Flower Autumn Centerpiece",4,4.0,32.0,2.00,8.00,multiple_of_16,was=32lb sheet=4lb ratio=8.00,6535,6774,4.0,28.00
FLB160-NA,FLB160-NA,Pumpkin Harvest Faux Flower Centerpiece,4,4.0,32.0,2.00,8.00,multiple_of_16,was=32lb sheet=4lb ratio=8.00,6536,6775,4.0,28.00
FLB166-MP,FLB166-MP,"Calla, Croton & Protea Faux Flower Arrangement",7,7.0,48.0,3.00,6.86,multiple_of_16,was=48lb sheet=7lb ratio=6.86,6576,6823,7.0,41.00
FLB168-RDW,FLB168-RDW,"Rose, Dahlia & Scabiosa Silk Flower Centerpiece",6,6.0,64.0,4.00,10.67,multiple_of_16,was=64lb sheet=6lb ratio=10.67,6577,6824,6.0,58.00
FLB171-MP,FLB171-MP,"Scabiosa, Rose & Rudbeckia Faux Flower Centerpiece",4,4.0,48.0,3.00,12.00,multiple_of_16,was=48lb sheet=4lb ratio=12.00,6578,6825,4.0,44.00
FLB173-MS,FLB173-MS,Floribunda Garden Silk Flower Centerpiece,5,5.0,48.0,3.00,9.60,multiple_of_16,was=48lb sheet=5lb ratio=9.60,6579,6826,5.0,43.00
FLB176-MS2,FLB176-MS2,Pin Cushion Protea & Dancing Orchid Faux Flower Arrangement,5,5.0,64.0,4.00,12.80,multiple_of_16,was=64lb sheet=5lb ratio=12.80,6580,6827,5.0,59.00
FLB182-LVB,FLB182-LVB,Garden Party Silk Flower Centerpiece,4,4.0,48.0,3.00,12.00,multiple_of_16,was=48lb sheet=4lb ratio=12.00,6622,6891,4.0,44.00
FLB196-MP,FLB196-MP,"Lily, Ranunculus & Berries Faux Flower Centerpiece",6,6.0,64.0,4.00,10.67,multiple_of_16,was=64lb sheet=6lb ratio=10.67,6598,6851,6.0,58.00
FLB302-MS,FLB302-MS,"Cabbage Rose, Zinnia & Orchid Silk Flower Centerpiece",5,5.0,48.0,3.00,9.60,multiple_of_16,was=48lb sheet=5lb ratio=9.60,6643,6934,5.0,43.00
FLB780,FLB780,Cymbidium Orchid & Monstera Leaf,7,7.0,48.0,3.00,6.86,multiple_of_16,was=48lb sheet=7lb ratio=6.86,5482,,,
FLB780,FLB780-BUO,Cymbidium Orchid & Monstera Leaf,7,7.0,48.0,3.00,6.86,multiple_of_16,was=48lb sheet=7lb ratio=6.86,5482,6786,7.0,41.00
FLB780,FLB780-CRW,Cymbidium Orchid & Monstera Leaf,7,7.0,48.0,3.00,6.86,multiple_of_16,was=48lb sheet=7lb ratio=6.86,5482,6785,7.0,41.00
FLB863,FLB863,Peony & Ranunculus Silk Flower Arrangement,5,5.0,48.0,3.00,9.60,multiple_of_16,was=48lb sheet=5lb ratio=9.60,5506,,,
FLB863,FLB863-BYG,Peony & Ranunculus Silk Flower Arrangement,5,5.0,48.0,3.00,9.60,multiple_of_16,was=48lb sheet=5lb ratio=9.60,5506,6910,5.0,43.00
FLB863,FLB863-PKW,Peony & Ranunculus Silk Flower Arrangement,5,5.0,48.0,3.00,9.60,multiple_of_16,was=48lb sheet=5lb ratio=9.60,5506,6909,5.0,43.00
FLC117,FLC117,"Peony, Aster & Cherry Blossom Faux Flower Arrangement",5,5.0,32.0,2.00,6.40,multiple_of_16,was=32lb sheet=5lb ratio=6.40,6507,,,
FLC117,FLC117-CPE,"Peony, Aster & Cherry Blossom Faux Flower Arrangement",5,5.0,32.0,2.00,6.40,multiple_of_16,was=32lb sheet=5lb ratio=6.40,6507,6729,5.0,27.00
FLC117,FLC117-PKL,"Peony, Aster & Cherry Blossom Faux Flower Arrangement",5,5.0,32.0,2.00,6.40,multiple_of_16,was=32lb sheet=5lb ratio=6.40,6507,6728,5.0,27.00
FLC157-MP,FLC157-MP,Autumn Fireworks Silk Flower Arrangement,6,6.0,48.0,3.00,8.00,multiple_of_16,was=48lb sheet=6lb ratio=8.00,6538,6777,6.0,42.00
FLC162-NA,FLC162-NA,Autumn Whirlwind Faux Flower Arrangement,4,4.0,32.0,2.00,8.00,multiple_of_16,was=32lb sheet=4lb ratio=8.00,6539,6778,4.0,28.00
FLC169,FLC169,Freesia Faux Flower Arrangement,7,7.0,64.0,4.00,9.14,multiple_of_16,was=64lb sheet=7lb ratio=9.14,6582,,,
FLC169,FLC169-PK,Freesia Faux Flower Arrangement,7,7.0,64.0,4.00,9.14,multiple_of_16,was=64lb sheet=7lb ratio=9.14,6582,6830,7.0,57.00
FLC169,FLC169-YE,Freesia Faux Flower Arrangement,7,7.0,64.0,4.00,9.14,multiple_of_16,was=64lb sheet=7lb ratio=9.14,6582,6831,7.0,57.00
FLC175,FLC175,Lavish Rambling Roses Silk Flower Arrangement,9,9.0,64.0,4.00,7.11,multiple_of_16,was=64lb sheet=9lb ratio=7.11,6583,,,
FLC175,FLC175-RD,Lavish Rambling Roses Silk Flower Arrangement,9,9.0,64.0,4.00,7.11,multiple_of_16,was=64lb sheet=9lb ratio=7.11,6583,6833,9.0,55.00
FLC175,FLC175-ROP,Lavish Rambling Roses Silk Flower Arrangement,9,9.0,64.0,4.00,7.11,multiple_of_16,was=64lb sheet=9lb ratio=7.11,6583,6834,9.0,55.00
FLC177-MS,FLC177-MS,"Roses, Delphiniums & Cosmos Silk Flower Arrangement",7,7.0,48.0,3.00,6.86,multiple_of_16,was=48lb sheet=7lb ratio=6.86,6584,6835,7.0,41.00
FLC179-MP,FLC179-MP,Delightful Delphiniums Silk Flower Arrangement,6,6.0,48.0,3.00,8.00,multiple_of_16,was=48lb sheet=6lb ratio=8.00,6585,6836,6.0,42.00
FLC211-WG,FLC211-WG,Calla Lilies Faux Flower Bouquet,9,9.0,64.0,4.00,7.11,multiple_of_16,was=64lb sheet=9lb ratio=7.11,6625,6894,9.0,55.00
