sku,status,was_weight_lb,target_weight_lb,notes
CTB138-BST,updated,64 POUNDS,4.0,weight:4lb; was:64 POUNDS
CTB138-GLD,updated,64 POUNDS,4.0,weight:4lb; was:64 POUNDS
CTB138-SST,updated,64 POUNDS,4.0,weight:4lb; was:64 POUNDS
CTD137-BST,updated,48 POUNDS,3.0,weight:3lb; was:48 POUNDS
CTD137-GLD,updated,48 POUNDS,3.0,weight:3lb; was:48 POUNDS
CTD137-SST,updated,48 POUNDS,3.0,weight:3lb; was:48 POUNDS
CTD280-BK,updated,48 POUNDS,3.0,weight:3lb; was:48 POUNDS
CTD280-OY,updated,48 POUNDS,3.0,weight:3lb; was:48 POUNDS
CTD280-WH,updated,48 POUNDS,3.0,weight:3lb; was:48 POUNDS
FLA156-NA,updated,32 POUNDS,2.0,weight:2lb; was:32 POUNDS
FLB109-MP,updated,36 POUNDS,2.25,weight:2.25lb; was:36 POUNDS
FLB127-MS,updated,36 POUNDS,2.25,weight:2.25lb; was:36 POUNDS
FLB133-ORB,updated,32 POUNDS,2.0,weight:2lb; was:32 POUNDS
FLB133-PKL,updated,32 POUNDS,2.0,weight:2lb; was:32 POUNDS
FLB140-BLY,updated,32 POUNDS,2.0,weight:2lb; was:32 POUNDS
FLB140-RDO,updated,32 POUNDS,2.0,weight:2lb; was:32 POUNDS
FLB141-MP,updated,48 POUNDS,3.0,weight:3lb; was:48 POUNDS
FLB142-MP,updated,32 POUNDS,2.0,weight:2lb; was:32 POUNDS
FLB147-MP,updated,48 POUNDS,3.0,weight:3lb; was:48 POUNDS
FLB184-MP,updated,48 POUNDS,3.0,weight:3lb; was:48 POUNDS
FLB990-MS,updated,16 POUNDS,1.0,weight:1lb; was:16 POUNDS
FLC150-MP,updated,48 POUNDS,3.0,weight:3lb; was:48 POUNDS
FLC152-MVP,updated,48 POUNDS,3.0,weight:3lb; was:48 POUNDS
FLC167-CRW,updated,64 POUNDS,4.0,weight:4lb; was:64 POUNDS
FLC180-CRP,updated,48 POUNDS,3.0,weight:3lb; was:48 POUNDS
FLC997-MP,updated,36 POUNDS,2.25,weight:2.25lb; was:36 POUNDS
HDA449-RD,updated,48 POUNDS,3.0,weight:3lb; was:48 POUNDS
HDA453-RD,updated,48 POUNDS,3.0,weight:3lb; was:48 POUNDS
HDA524-CHG,updated,64 POUNDS,4.0,weight:4lb; was:64 POUNDS
HDB447-RD,updated,36 POUNDS,2.25,weight:2.25lb; was:36 POUNDS
HDB457-RD,updated,48 POUNDS,3.0,weight:3lb; was:48 POUNDS
HDB528-RDG,updated,32 POUNDS,2.0,weight:2lb; was:32 POUNDS
HDC461-RDG,updated,48 POUNDS,3.0,weight:3lb; was:48 POUNDS
HDC462-RDG,updated,48 POUNDS,3.0,weight:3lb; was:48 POUNDS
HDC464-RDG,updated,48 POUNDS,3.0,weight:3lb; was:48 POUNDS
HDC465-RDG,updated,48 POUNDS,3.0,weight:3lb; was:48 POUNDS
HDC466-BLS,updated,48 POUNDS,3.0,weight:3lb; was:48 POUNDS
HDC467-BLS,updated,48 POUNDS,3.0,weight:3lb; was:48 POUNDS
HDC468-BLS,updated,48 POUNDS,3.0,weight:3lb; was:48 POUNDS
PLA503-NA,updated,72 POUNDS,4.5,weight:4.5lb; was:72 POUNDS
PLD363-NA,updated,48 POUNDS,3.0,weight:3lb; was:48 POUNDS
PLD505-NA,updated,36 POUNDS,2.25,weight:2.25lb; was:36 POUNDS
WRA234-MP,updated,16 POUNDS,1.0,weight:1lb; was:16 POUNDS
WRA282-MS,updated,36 POUNDS,2.25,weight:2.25lb; was:36 POUNDS
FLB163-NA,updated,48 POUNDS,3.0,weight:3lb; was:48 POUNDS
FLB186-MP,updated,72 POUNDS,4.5,weight:4.5lb; was:72 POUNDS
FLB434-NA,updated,24 POUNDS,1.5,weight:1.5lb; was:24 POUNDS
FLB994-MP,updated,16 POUNDS,1.0,weight:1lb; was:16 POUNDS
HDA431-RDG,updated,64 POUNDS,4.0,weight:4lb; was:64 POUNDS
HDA433-RDG,updated,64 POUNDS,4.0,weight:4lb; was:64 POUNDS
HDA435-RD,updated,48 POUNDS,3.0,weight:3lb; was:48 POUNDS
HDA525-CHG,updated,48 POUNDS,3.0,weight:3lb; was:48 POUNDS
HDA530-GRR,updated,64 POUNDS,4.0,weight:4lb; was:64 POUNDS
HDA535-CHG,updated,48 POUNDS,3.0,weight:3lb; was:48 POUNDS
HDD222-05,updated,128 POUNDS,8.0,weight:8lb; was:128 POUNDS
HDD222-06,updated,128 POUNDS,8.0,weight:8lb; was:128 POUNDS
HDD224-GR,updated,64 POUNDS,4.0,weight:4lb; was:64 POUNDS
HDD529-GRR,updated,48 POUNDS,3.0,weight:3lb; was:48 POUNDS
PLA359-NA1,updated,96 POUNDS,6.0,weight:6lb; was:96 POUNDS
PLA360-GB,updated,128 POUNDS,8.0,weight:8lb; was:128 POUNDS
PLA364-NA,updated,128 POUNDS,8.0,weight:8lb; was:128 POUNDS
PLA501-GB,updated,72 POUNDS,4.5,weight:4.5lb; was:72 POUNDS
PLA502-GB,updated,72 POUNDS,4.5,weight:4.5lb; was:72 POUNDS
PLA504-GB,updated,72 POUNDS,4.5,weight:4.5lb; was:72 POUNDS
PLA506-GR,updated,160 POUNDS,10.0,weight:10lb; was:160 POUNDS
PLA507-GR,updated,160 POUNDS,10.0,weight:10lb; was:160 POUNDS
WRA283-WG,updated,36 POUNDS,2.25,weight:2.25lb; was:36 POUNDS
