sku,product_title,sheet_weight_raw,shopify_weight_lb,bigcommerce_weight_lb,implied_lb_if_oz,issue
CTB138-BST,"Spun Metallic Tree & Plant Container - 14"" H x 14"" W  - Black Steel",,64.0,64.0,4.00,incorrect weight
CTB138-GLD,"Spun Metallic Tree & Plant Container - 14"" H x 14"" W - Gold",,64.0,64.0,4.00,incorrect weight
CTB138-SST,"Spun Metallic Tree & Plant Container - 14""H x 14"" W - Silver Steel",,64.0,64.0,4.00,incorrect weight
CTD137-BST,"Spun Metallic Tree & Plant Container - 11"" H x 11 W - Black Steel",,48.0,48.0,3.00,incorrect weight
CTD137-GLD,"Spun Metallic Tree & Plant Container -  11"" H x 11"" W - Gold",,48.0,48.0,3.00,incorrect weight
CTD137-SST,"Spun Metallic Tree & Plant Container - 11""H x 11""W  - Silver Steel",,48.0,48.0,3.00,incorrect weight
CTD280-BK,"Newport Decorative Container 11""W x 11""H - Gloss Black",,48.0,48.0,3.00,incorrect weight
CTD280-OY,"Newport Decorative Container 11""W x 11""H - Gloss Oyster",,48.0,48.0,3.00,incorrect weight
CTD280-WH,"Newport Decorative Container 11""W x 11""H - Gloss White",,48.0,48.0,3.00,incorrect weight
FLA156-NA,Baby's Breath & Grass Faux Flower Accent,,32.0,32.0,2.00,incorrect weight
FLB109-MP,Autumn Opulence Silk Flower Centerpiece,,36.0,36.0,2.25,incorrect weight
FLB127-MS,"Roses, Forsythia & Peonies Faux Flower Centerpiece",,36.0,36.0,2.25,incorrect weight
FLB133-ORB,Cabbage Roses & Cosmos Silk Flower Centerpiece,,32.0,32.0,2.00,incorrect weight
FLB133-PKL,Cabbage Roses & Cosmos Silk Flower Centerpiece,,32.0,32.0,2.00,incorrect weight
FLB140-BLY,Celebration Bouquet Faux Flower Arrangement,,32.0,32.0,2.00,incorrect weight
FLB140-RDO,Celebration Bouquet Faux Flower Arrangement,,32.0,32.0,2.00,incorrect weight
FLB141-MP,Mixed Rose Bouquet Silk Flower Arrangement,,48.0,48.0,3.00,incorrect weight
FLB142-MP,Captivating Roses Silk Flower Centerpiece,,32.0,32.0,2.00,incorrect weight
FLB147-MP,Maui Sunrise Faux Flower Centerpiece,,48.0,48.0,3.00,incorrect weight
FLB184-MP,"Roses, Alstromeria & Berries Silk Flower Centerpiece",,48.0,48.0,3.00,incorrect weight
FLB990-MS,Hydrangea & Seeded Eucalyptus Faux Flower Centerpiece,,16.0,16.0,1.00,incorrect weight
