item,variant_sku,product_title,sheet_weight_lb,was_weight_lb,current_weight_lb,ratio,implied_lb_from_div16,issue_type,detail,source
FLA136,FLA136-RD,,3.0,16.0,3.0,5.33,1.00,oz_like_value,was=16lb implies 1.00lb,Package map dry run.txt
FLA136,FLA136-CRW,,3.0,16.0,3.0,5.33,1.00,oz_like_value,was=16lb implies 1.00lb,Package map dry run.txt
FLA136,FLA136-PE,,3.0,16.0,3.0,5.33,1.00,oz_like_value,was=16lb implies 1.00lb,Package map dry run.txt
FLA164-MP,FLA164-MP,,3.0,32.0,3.0,10.67,2.00,multiple_of_16,was=32lb sheet=3lb ratio=10.67,Package map dry run.txt
FLA189-MS,FLA189-MS,,2.0,32.0,2.0,16.00,2.00,exact_16x,was/sheet=16.00,Package map dry run.txt
FLA197,FLA197-FU,,5.0,48.0,5.0,9.60,3.00,multiple_of_16,was=48lb sheet=5lb ratio=9.60,Package map dry run.txt
FLA197,FLA197-TTP,,5.0,48.0,5.0,9.60,3.00,multiple_of_16,was=48lb sheet=5lb ratio=9.60,Package map dry run.txt
FLA197,FLA197-WH,,5.0,48.0,5.0,9.60,3.00,multiple_of_16,was=48lb sheet=5lb ratio=9.60,Package map dry run.txt
FLA206,FLA206-MP,,3.0,36.0,3.0,12.00,2.25,div16_near_sheet,was/16=2.25lb vs sheet=3lb,Package map dry run.txt
FLA206,FLA206-PEY,,3.0,36.0,3.0,12.00,2.25,div16_near_sheet,was/16=2.25lb vs sheet=3lb,Package map dry run.txt
FLA206,FLA206-RDO,,3.0,36.0,3.0,12.00,2.25,div16_near_sheet,was/16=2.25lb vs sheet=3lb,Package map dry run.txt
FLA921-MP,FLA921-MP,,4.0,36.0,4.0,9.00,2.25,oz_like_value,was=36lb implies 2.25lb,Package map dry run.txt
FLA988-MP,FLA988-MP,,2.0,16.0,2.0,8.00,1.00,multiple_of_16,was=16lb sheet=2lb ratio=8.00,Package map dry run.txt
FLA996-NA,FLA996-NA,,2.0,16.0,2.0,8.00,1.00,multiple_of_16,was=16lb sheet=2lb ratio=8.00,Package map dry run.txt
FLB145-LV,FLB145-LV,,5.0,48.0,5.0,9.60,3.00,multiple_of_16,was=48lb sheet=5lb ratio=9.60,Package map dry run.txt
FLB159-MP,FLB159-MP,,4.0,32.0,4.0,8.00,2.00,multiple_of_16,was=32lb sheet=4lb ratio=8.00,Package map dry run.txt
FLB160-NA,FLB160-NA,,4.0,32.0,4.0,8.00,2.00,multiple_of_16,was=32lb sheet=4lb ratio=8.00,Package map dry run.txt
FLB161-NA,FLB161-NA,,3.0,48.0,3.0,16.00,3.00,exact_16x,was/sheet=16.00,Package map dry run.txt
FLB166-MP,FLB166-MP,,7.0,48.0,7.0,6.86,3.00,multiple_of_16,was=48lb sheet=7lb ratio=6.86,Package map dry run.txt
FLB168-RDW,FLB168-RDW,,6.0,64.0,6.0,10.67,4.00,multiple_of_16,was=64lb sheet=6lb ratio=10.67,Package map dry run.txt
FLB171-MP,FLB171-MP,,4.0,48.0,4.0,12.00,3.00,multiple_of_16,was=48lb sheet=4lb ratio=12.00,Package map dry run.txt
FLB173-MS,FLB173-MS,,5.0,48.0,5.0,9.60,3.00,multiple_of_16,was=48lb sheet=5lb ratio=9.60,Package map dry run.txt
FLB176-MS2,FLB176-MS2,,5.0,64.0,5.0,12.80,4.00,multiple_of_16,was=64lb sheet=5lb ratio=12.80,Package map dry run.txt
FLB182-LVB,FLB182-LVB,,4.0,48.0,4.0,12.00,3.00,multiple_of_16,was=48lb sheet=4lb ratio=12.00,Package map dry run.txt
FLB183-PK,FLB183-PK,,4.0,64.0,4.0,16.00,4.00,exact_16x,was/sheet=16.00,Package map dry run.txt
FLB196-MP,FLB196-MP,,6.0,64.0,6.0,10.67,4.00,multiple_of_16,was=64lb sheet=6lb ratio=10.67,Package map dry run.txt
FLB302-MS,FLB302-MS,,5.0,48.0,5.0,9.60,3.00,multiple_of_16,was=48lb sheet=5lb ratio=9.60,Package map dry run.txt
FLB780,FLB780-CRW,,7.0,48.0,7.0,6.86,3.00,multiple_of_16,was=48lb sheet=7lb ratio=6.86,Package map dry run.txt
FLB780,FLB780-BUO,,7.0,48.0,7.0,6.86,3.00,multiple_of_16,was=48lb sheet=7lb ratio=6.86,Package map dry run.txt
FLB863,FLB863-PKW,,5.0,48.0,5.0,9.60,3.00,multiple_of_16,was=48lb sheet=5lb ratio=9.60,Package map dry run.txt
FLB863,FLB863-BYG,,5.0,48.0,5.0,9.60,3.00,multiple_of_16,was=48lb sheet=5lb ratio=9.60,Package map dry run.txt
FLC117,FLC117-PKL,,5.0,32.0,5.0,6.40,2.00,multiple_of_16,was=32lb sheet=5lb ratio=6.40,Package map dry run.txt
FLC117,FLC117-CPE,,5.0,32.0,5.0,6.40,2.00,multiple_of_16,was=32lb sheet=5lb ratio=6.40,Package map dry run.txt
FLC157-MP,FLC157-MP,,6.0,48.0,6.0,8.00,3.00,multiple_of_16,was=48lb sheet=6lb ratio=8.00,Package map dry run.txt
FLC162-NA,FLC162-NA,,4.0,32.0,4.0,8.00,2.00,multiple_of_16,was=32lb sheet=4lb ratio=8.00,Package map dry run.txt
FLC169,FLC169-PK,,7.0,64.0,7.0,9.14,4.00,multiple_of_16,was=64lb sheet=7lb ratio=9.14,Package map dry run.txt
FLC169,FLC169-YE,,7.0,64.0,7.0,9.14,4.00,multiple_of_16,was=64lb sheet=7lb ratio=9.14,Package map dry run.txt
FLC175,FLC175-RD,,9.0,64.0,9.0,7.11,4.00,multiple_of_16,was=64lb sheet=9lb ratio=7.11,Package map dry run.txt
FLC175,FLC175-ROP,,9.0,64.0,9.0,7.11,4.00,multiple_of_16,was=64lb sheet=9lb ratio=7.11,Package map dry run.txt
FLC177-MS,FLC177-MS,,7.0,48.0,7.0,6.86,3.00,multiple_of_16,was=48lb sheet=7lb ratio=6.86,Package map dry run.txt
