item,variant_sku,product_title,sheet_weight_lb,was_weight_lb,current_weight_lb,ratio,implied_lb_from_div16,issue_type,detail,source
,WRA234-MP,Apple & Berries Wreath,,16.0,16.0,,1.00,store_multiple_of_16,implies 1.00lb if oz→lb,live_store_scan
,FLB990-MS,Hydrangea & Seeded Eucalyptus Faux Flower Centerpiece,,16.0,16.0,,1.00,store_multiple_of_16,implies 1.00lb if oz→lb,live_store_scan
FLB994-MP,FLB994-MP,Garden Kaleidoscope Silk Flower Centerpiece,,16.0,16.0,,1.00,store_multiple_of_16,implies 1.00lb if oz→lb,live_store_scan
PLA501-GB,PLA501-GB,Aspidistra Faux Floor Plant,,72.0,72.0,,4.50,store_oz_like_value,implies 4.50lb if oz→lb,live_store_scan
PLA502-GB,PLA502-GB,Double Aspidistra Faux Floor Plant,,72.0,72.0,,4.50,store_oz_like_value,implies 4.50lb if oz→lb,live_store_scan
,PLA503-NA,Silk Japanese Maple Bush,,72.0,72.0,,4.50,store_oz_like_value,implies 4.50lb if oz→lb,live_store_scan
PLA504-GB,PLA504-GB,"Aspidistra, Palm & Silver King Silk Foliage Planter",,72.0,72.0,,4.50,store_oz_like_value,implies 4.50lb if oz→lb,live_store_scan
,FLB109-MP,Autumn Opulence Silk Flower Centerpiece,,36.0,36.0,,2.25,store_oz_like_value,implies 2.25lb if oz→lb,live_store_scan
,FLC997-MP,"Mums, Alstroemeria & Berries Faux Flower Arrangement",,36.0,36.0,,2.25,store_oz_like_value,implies 2.25lb if oz→lb,live_store_scan
,PLD505-NA,Laurel & Plume Thistle Faux Foliage Arrangement,,36.0,36.0,,2.25,store_oz_like_value,implies 2.25lb if oz→lb,live_store_scan
,HDA449-RD,Ilex Berries & Birch Faux Holiday Arrangement,,48.0,48.0,,3.00,store_multiple_of_16,implies 3.00lb if oz→lb,live_store_scan
,HDA453-RD,"Plush Poinsettia, Berries, & Achillea Artificial Holiday Centerpiece",,48.0,48.0,,3.00,store_multiple_of_16,implies 3.00lb if oz→lb,live_store_scan
,HDB447-RD,"Mixed Eucalyptus, Pine & Berries Silk Holiday Accent",,36.0,36.0,,2.25,store_oz_like_value,implies 2.25lb if oz→lb,live_store_scan
,HDB457-RD,Holiday Bliss Artificial Christmas Arrangement,,48.0,48.0,,3.00,store_multiple_of_16,implies 3.00lb if oz→lb,live_store_scan
,HDC461-RDG,"Holly, Ivy & Berries 18"" Artificial Holiday Wreaths (Set of 2)",,48.0,48.0,,3.00,store_multiple_of_16,implies 3.00lb if oz→lb,live_store_scan
,HDC462-RDG,"Holly, Ivy & Berries 24"" Artificial Holiday Wreath",,48.0,48.0,,3.00,store_multiple_of_16,implies 3.00lb if oz→lb,live_store_scan
,HDC464-RDG,"Holly, Ivy & Berries 28"" Artificial Holiday Teardrop",,48.0,48.0,,3.00,store_multiple_of_16,implies 3.00lb if oz→lb,live_store_scan
,HDC465-RDG,"Holly, Ivy & Berries 5' Artificial Holiday Garland",,48.0,48.0,,3.00,store_multiple_of_16,implies 3.00lb if oz→lb,live_store_scan
HDD222-05,HDD222-05,5' Artificial Norway Spruce  Christmas Tree,,128.0,128.0,,8.00,store_multiple_of_16,implies 8.00lb if oz→lb,live_store_scan
HDD222-06,HDD222-06,6' Artificial Norway Spruce  Christmas Tree,,128.0,128.0,,8.00,store_multiple_of_16,implies 8.00lb if oz→lb,live_store_scan
HDD224-GR,HDD224-GR,"30"" Norway Spruce Artificial Tabletop Tree",,64.0,64.0,,4.00,store_multiple_of_16,implies 4.00lb if oz→lb,live_store_scan
,FLB127-MS,"Roses, Forsythia & Peonies Faux Flower Centerpiece",,36.0,36.0,,2.25,store_oz_like_value,implies 2.25lb if oz→lb,live_store_scan
,FLB133-ORB,Cabbage Roses & Cosmos Silk Flower Centerpiece,,32.0,32.0,,2.00,store_multiple_of_16,implies 2.00lb if oz→lb,live_store_scan
,FLB133-PKL,Cabbage Roses & Cosmos Silk Flower Centerpiece,,32.0,32.0,,2.00,store_multiple_of_16,implies 2.00lb if oz→lb,live_store_scan
,FLB140-BLY,Celebration Bouquet Faux Flower Arrangement,,32.0,32.0,,2.00,store_multiple_of_16,implies 2.00lb if oz→lb,live_store_scan
,FLB140-RDO,Celebration Bouquet Faux Flower Arrangement,,32.0,32.0,,2.00,store_multiple_of_16,implies 2.00lb if oz→lb,live_store_scan
,FLB141-MP,Mixed Rose Bouquet Silk Flower Arrangement,,48.0,48.0,,3.00,store_multiple_of_16,implies 3.00lb if oz→lb,live_store_scan
PLA506-GR,PLA506-GR,Fiddle Leaf Silk Plant,,160.0,160.0,,10.00,store_multiple_of_16,implies 10.00lb if oz→lb,live_store_scan
PLA507-GR,PLA507-GR,Faux Areca Palm Plant,,160.0,160.0,,10.00,store_multiple_of_16,implies 10.00lb if oz→lb,live_store_scan
,WRA282-MS,Hydrangea & Berries Faux Flower Wreath,,36.0,36.0,,2.25,store_oz_like_value,implies 2.25lb if oz→lb,live_store_scan
WRA283-WG,WRA283-WG,"Magnolia, Viburnum & Berry Silk Flower Wreath",,36.0,36.0,,2.25,store_oz_like_value,implies 2.25lb if oz→lb,live_store_scan
,CTD280-BK,"Newport Decorative Container 11""W x 11""H - Gloss Black",,48.0,48.0,,3.00,store_multiple_of_16,implies 3.00lb if oz→lb,live_store_scan
,CTD280-OY,"Newport Decorative Container 11""W x 11""H - Gloss Oyster",,48.0,48.0,,3.00,store_multiple_of_16,implies 3.00lb if oz→lb,live_store_scan
,CTD280-WH,"Newport Decorative Container 11""W x 11""H - Gloss White",,48.0,48.0,,3.00,store_multiple_of_16,implies 3.00lb if oz→lb,live_store_scan
,FLB142-MP,Captivating Roses Silk Flower Centerpiece,,32.0,32.0,,2.00,store_multiple_of_16,implies 2.00lb if oz→lb,live_store_scan
,FLB147-MP,Maui Sunrise Faux Flower Centerpiece,,48.0,48.0,,3.00,store_multiple_of_16,implies 3.00lb if oz→lb,live_store_scan
,FLC150-MP,"Sunflower, Gerbera Daisy & Delphinium Silk Flower Arrangement",,48.0,48.0,,3.00,store_multiple_of_16,implies 3.00lb if oz→lb,live_store_scan
,FLC152-MVP,Hydrangea Happiness Silk Flower Arrangement,,48.0,48.0,,3.00,store_multiple_of_16,implies 3.00lb if oz→lb,live_store_scan
FLB163-NA,FLB163-NA,Warm Days of Fall Silk Flower Centerpiece,,48.0,48.0,,3.00,store_multiple_of_16,implies 3.00lb if oz→lb,live_store_scan
,FLA156-NA,Baby's Breath & Grass Faux Flower Accent,,32.0,32.0,,2.00,store_multiple_of_16,implies 2.00lb if oz→lb,live_store_scan
,HDB528-RDG,"Achillea, Hydrangea & Holly Artificial Holiday Arrangement",,32.0,32.0,,2.00,store_multiple_of_16,implies 2.00lb if oz→lb,live_store_scan
,HDC466-BLS,"Winter Morning 24"" Artificial Holiday Wreath",,48.0,48.0,,3.00,store_multiple_of_16,implies 3.00lb if oz→lb,live_store_scan
,HDC467-BLS,"Winter Morning 30"" Artificial Holiday Wreath",,48.0,48.0,,3.00,store_multiple_of_16,implies 3.00lb if oz→lb,live_store_scan
,HDC468-BLS,Winter Morning Artificial Holiday Teardrop,,48.0,48.0,,3.00,store_multiple_of_16,implies 3.00lb if oz→lb,live_store_scan
HDA530-GRR,HDA530-GRR,"Pine, Berry & Cedar Large Artificial Holiday Centerpiece",,64.0,64.0,,4.00,store_multiple_of_16,implies 4.00lb if oz→lb,live_store_scan
HDD529-GRR,HDD529-GRR,Jingle Bells Artificial Holiday Tabletop Tree,,48.0,48.0,,3.00,store_multiple_of_16,implies 3.00lb if oz→lb,live_store_scan
,HDA524-CHG,Champagne Elegance Holiday Faux Centerpiece,,64.0,64.0,,4.00,store_multiple_of_16,implies 4.00lb if oz→lb,live_store_scan
HDA525-CHG,HDA525-CHG,Champagne Elegance Faux Holiday Sleigh Arrangement,,48.0,48.0,,3.00,store_multiple_of_16,implies 3.00lb if oz→lb,live_store_scan
,CTD137-SST,"Spun Metallic Tree & Plant Container - 11""H x 11""W  - Silver Steel",,48.0,48.0,,3.00,store_multiple_of_16,implies 3.00lb if oz→lb,live_store_scan
,CTD137-GLD,"Spun Metallic Tree & Plant Container -  11"" H x 11"" W - Gold",,48.0,48.0,,3.00,store_multiple_of_16,implies 3.00lb if oz→lb,live_store_scan
,CTD137-BST,"Spun Metallic Tree & Plant Container - 11"" H x 11 W - Black Steel",,48.0,48.0,,3.00,store_multiple_of_16,implies 3.00lb if oz→lb,live_store_scan
,CTB138-BST,"Spun Metallic Tree & Plant Container - 14"" H x 14"" W  - Black Steel",,64.0,64.0,,4.00,store_multiple_of_16,implies 4.00lb if oz→lb,live_store_scan
,CTB138-GLD,"Spun Metallic Tree & Plant Container - 14"" H x 14"" W - Gold",,64.0,64.0,,4.00,store_multiple_of_16,implies 4.00lb if oz→lb,live_store_scan
,CTB138-SST,"Spun Metallic Tree & Plant Container - 14""H x 14"" W - Silver Steel",,64.0,64.0,,4.00,store_multiple_of_16,implies 4.00lb if oz→lb,live_store_scan
,FLC167-CRW,Calla Lilies Faux Flower Arrangement,,64.0,64.0,,4.00,store_multiple_of_16,implies 4.00lb if oz→lb,live_store_scan
,FLC180-CRP,Cherry Blossom Festival Faux Flower Arrangement,,48.0,48.0,,3.00,store_multiple_of_16,implies 3.00lb if oz→lb,live_store_scan
PLA360-GB,PLA360-GB,"Mango, Dracaena & Begonia Faux Foliage Planter",,128.0,128.0,,8.00,store_multiple_of_16,implies 8.00lb if oz→lb,live_store_scan
PLA364-NA,PLA364-NA,Silk Japanese Maple Floor Plant,,128.0,128.0,,8.00,store_multiple_of_16,implies 8.00lb if oz→lb,live_store_scan
,PLD363-NA,Mixed Begonia Faux Foliage Planter,,48.0,48.0,,3.00,store_multiple_of_16,implies 3.00lb if oz→lb,live_store_scan
,FLB184-MP,"Roses, Alstromeria & Berries Silk Flower Centerpiece",,48.0,48.0,,3.00,store_multiple_of_16,implies 3.00lb if oz→lb,live_store_scan
PLA359-NA1,PLA359-NA1,Serengeti Grass Faux Foliage Plant  - Old Version,,96.0,96.0,,6.00,store_multiple_of_16,implies 6.00lb if oz→lb,live_store_scan
FLB434-NA,FLB434-NA,Cornucopia Artificial Autumn Arrangement,,24.0,24.0,,1.50,store_oz_like_value,implies 1.50lb if oz→lb,live_store_scan
HDA431-RDG,HDA431-RDG,"Slash Pine, Berries & Fern Faux Holiday Arrangement",,64.0,64.0,,4.00,store_multiple_of_16,implies 4.00lb if oz→lb,live_store_scan
HDA433-RDG,HDA433-RDG,Holiday Rhapsody Silk Flower Holiday Arrangement,,64.0,64.0,,4.00,store_multiple_of_16,implies 4.00lb if oz→lb,live_store_scan
HDA435-RD,HDA435-RD,"Plush Velvet Poinsettia, Pine & Berries Artificial Christmas Bouquet",,48.0,48.0,,3.00,store_multiple_of_16,implies 3.00lb if oz→lb,live_store_scan
HDA535-CHG,HDA535-CHG,Champagne Elegance Artificial Holiday Centerpiece,,48.0,48.0,,3.00,store_multiple_of_16,implies 3.00lb if oz→lb,live_store_scan
FLB186-MP,FLB186-MP,"Ginger, Heliconia & Orchid Faux Flower Arrangement",,72.0,72.0,,4.50,store_oz_like_value,implies 4.50lb if oz→lb,live_store_scan
