WEB,MOM,Image,Actv Web,Note,MPN / Availability ,Item # ,UPC,Category,Product Name,Color ,Cost, Price,Min Q,Inventory,MOM Low Level,BC Low Level,Color Group ,Color Group ,Color Group ,Color Group ,Color Group ,Color Group ,Flower Type,Flower Type ,Flower Type ,Size,Season,Season,Season,Season,Copy ,Bullet ,Bullet ,Bullet ,Bullet ,Bullet ,Bullet ,Page Title,Meta Description ,Meta Keywords,X-Sell Vase ,X-Sell Gems ,Overall  Height,Overall Width (for Sprays),Bloom Diameter,# of Stems in Bouquet Photo,Bouquet Vase Dimensions,Item # for Vase Used,Outline Photo (-ot),Outline Alt (-alt),Bouquet Photo (-bq),Bouquet Close Up    (-bcu)
TRUE,TRUE,TRUE,TRUE,,Available - Est Delivery 5-10 Days,CV4486-CLR,848644018483,Vases & Gems,"Hand-Blown Glass Cylinder Vase - 10""H x 4""Dia. ",Clear,$4.83,$19.00,1,48,12,12,,,,,,,Vases & Gems,,,,,,,,,,,,,,,Tall Hand-Blown Glass Cylinder Vase - Petals.com,,,,,,,,,,,,,,
TRUE,TRUE,TRUE,TRUE,,Available - Est Delivery 5-10 Days,CV4809-CLR,848644018490,Vases & Gems,"Hand-Blown Glass Cylinder Vase - 12""H x 4""Dia. ",Clear,$5.06,$21.00,1,48,12,12,,,,,,,Vases & Gems,,,,,,,,,,,,,,,Medium Hand-Blown Glass Cylinder Vase - Petals.com,,,,,,,,,,,,,,
TRUE,TRUE,TRUE,TRUE,,Available - Est Delivery 5-10 Days,CV6048-CLR,848644018506,Vases & Gems,"Hand-Blown Glass Cylinder Vase - 6""H x 4""Dia. ",Clear,$3.67,$15.00,1,48,12,12,,,,,,,Vases & Gems,,,,,,,,,,,,,,,Small Hand-Blown Glass Cylinder Vase - Petals.com,,,,,,,,,,,,,,
TRUE,TRUE,TRUE,TRUE,,Available - Est Delivery 5-10 Days,CV6049-CLR,848644018513,Vases & Gems,"Hand-Blown Glass Cylinder Vase - 8""H x 4""Dia. ",Clear,$4.14,$17.00,1,48,12,12,,,,,,,Vases & Gems,,,,,,,,,,,,,,,Hand-Blown Glass Cylinder Vase - Petals.com,,,,,,,,,,,,,,
TRUE,TRUE,TRUE,TRUE,,Available - Est Delivery 5-10 Days,CV6058-CLR,848644018520,Vases & Gems,"Hand-Blown Glass Cylinder Vase - 16""H x 5""Dia. ",Clear,$9.50,$39.00,1,48,12,12,,,,,,,Vases & Gems,,,,,,,,,,,,,,,Large Hand-Blown Glass Cylinder Vase - Petals.com,,,,,,,,,,,,,,
TRUE,TRUE,TRUE,TRUE,,Available - Est Delivery 5-10 Days,CV6073-CLR,848644018537,Vases & Gems,"Hand-Blown Glass Cylinder Vase - 4""H x 4""Dia. ",Clear,$2.24,$9.00,1,48,12,12,,,,,,,Vases & Gems,,,,,,,,,,,,,,,Mini Hand-Blown Glass Cylinder Vase - Petals.com,,,,,,,,,,,,,,
TRUE,TRUE,TRUE,TRUE,,Available - Est Delivery 5-10 Days,S1004-GB,848644018544,All Stems ,Japanese Maple Branch x 3 ,Burg/Green,$1.41,$6.75,3,250,,12,Green-Brown-Beige,,,,,,Greenery & Foliage,,,"25"" and Over",,,,,"Create with our lifelike 31"" silk Japanese Maple Branch stems.","31"" Tall x 14"" Wide",,,,Handcrafted In China - Imported,,,,,,,31''H,14''W,-,,,,x,,,
TRUE,TRUE,TRUE,TRUE,,Available - Est Delivery 5-10 Days,S1253,848644017066,All Stems ,"Delphinium Silk Flower Stem - 29""",Master SKU ,$1.35,$6.50,3,NA,,12,Lavender-Blue-Purple,Cream-White,Pink-Fuchsia-Beauty,,,,Other Varieties,,,"25"" and Over",,,,,"Decorate with ease with our lifelike 29"" tall faux delphinium stem available in 4 Colors.  12 stems shown in photo and arranged In our 10"" hand blown glass cylinder vase with clear gems (sold seperately) ","29"" Tall x 4"" Wide ","Bloom Diameter 2""",12 Stems Shown In Photo ,"Shown in 10"" Hand Blown Glass Cylinder Vase With Clear Gems (Sold Seperately) ",Handcrafted In China - Imported,,Delphinium Silk Flower Stem - Petals.com ,,,CV4809-CLR,,29''H,4''W,2''D,12,12''Hx4''D,CV4809-CLR,x,,x,x
TRUE,TRUE,TRUE,TRUE,,Available - Est Delivery 5-10 Days,S1253-BL,848644017066,All Stems ,"Delphinium Silk Flower Stem - 29""",Blue,$1.35,$6.50,3,250,,12,Lavender-Blue-Purple,Cream-White,Pink-Fuchsia-Beauty,,,,Other Varieties,,,"25"" and Over",,,,,"Decorate with ease with our lifelike 29"" tall faux delphinium stem available in 4 Colors.  12 stems shown in photo and arranged In our 10"" hand blown glass cylinder vase with clear gems (sold seperately) ","29"" Tall x 4"" Wide ","Bloom Diameter 2""",12 Stems Shown In Photo ,"Shown in 10"" Hand Blown Glass Cylinder Vase With Clear Gems (Sold Seperately) ",Handcrafted In China - Imported,,Blue Delphinum Silk Flower Stem - Petals.com,,,CV4809-CLR,,29''H,4''W,2''D,12,12''Hx4''D,CV4809-CLR,x,,x,x
TRUE,TRUE,TRUE,TRUE,,Available - Est Delivery 5-10 Days,S1253-CRWH,848644017073,All Stems ,"Delphinium Silk Flower Stem - 29""",Cream White,$1.35,$6.50,3,250,,12,Lavender-Blue-Purple,Cream-White,Pink-Fuchsia-Beauty,,,,Other Varieties,,,"25"" and Over",,,,,"Decorate with ease with our lifelike 29"" tall faux delphinium stem available in 4 Colors.  12 stems shown in photo and arranged In our 10"" hand blown glass cylinder vase with clear gems (sold seperately) ","29"" Tall x 4"" Wide ","Bloom Diameter 2""",12 Stems Shown In Photo ,"Stems Arranged In Our 10"" Hand Blown Glass Cylinder Vase With Clear Gems (Sold Seperately) ",Handcrafted In China - Imported,,White Delphinium Silk Flower Stem - Petals.com,,,CV4809-CLR,,29''H,4''W,2''D,12,12''Hx4''D,CV4809-CLR,x,,x,x
TRUE,TRUE,TRUE,TRUE,,Available - Est Delivery 5-10 Days,S1253-PK,848644017080,All Stems ,"Delphinium Silk Flower Stem - 29""",Pink,$1.35,$6.50,3,250,,12,Lavender-Blue-Purple,Cream-White,Pink-Fuchsia-Beauty,,,,Other Varieties,,,"25"" and Over",,,,,"Decorate with ease with our lifelike 29"" tall faux delphinium stem available in 4 Colors.  12 stems shown in photo and arranged In our 10"" hand blown glass cylinder vase with clear gems (sold seperately) ","29"" Tall x 4"" Wide ","Bloom Diameter 2""",12 Stems Shown In Photo ,"Stems Arranged In Our 10"" Hand Blown Glass Cylinder Vase With Clear Gems (Sold Seperately) ",Handcrafted In China - Imported,,Pink Delphinium Silk Flower Stem - Petals.com,,,CV4809-CLR,,29''H,4''W,2''D,12,12''Hx4''D,CV4809-CLR,x,,x,x
TRUE,TRUE,TRUE,TRUE,,Available - Est Delivery 5-10 Days,S1253-PU,848644017097,All Stems ,"Delphinium Silk Flower Stem - 29""",Purple,$1.35,$6.50,3,250,,12,Lavender-Blue-Purple,Cream-White,Pink-Fuchsia-Beauty,,,,Other Varieties,,,"25"" and Over",,,,,"Decorate with ease with our lifelike 29"" tall faux delphinium stem available in 4 Colors.  12 stems shown in photo and arranged In our 10"" hand blown glass cylinder vase with clear gems (sold seperately) ","29"" Tall x 4"" Wide ","Bloom Diameter 2""",12 Stems Shown In Photo ,"Stems Arranged In Our 10"" Hand Blown Glass Cylinder Vase With Clear Gems (Sold Seperately) ",Handcrafted In China - Imported,,Purple Delphinium Silk Flower Stem - Petals.com,,,CV4809-CLR,,"29""H",4''W,2''D,12,12''Hx4''D,CV4809-CLR,x,,x,x
TRUE,TRUE,TRUE,TRUE,,,S1260,,All Stems ,"Artificial Rock Cress Flower Stem - 27""",Master SKU ,,,,NA,,12,,,,,,,Other Varieties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,TRUE,TRUE,,,S1260-BL,848644018551,All Stems ,"Artificial Rock Cress Flower Stem - 27""",Blue,$1.43,$6.75,3,0,,12,Lavender-Blue-Purple,Cream-White,,,,,Other Varieties,,,,,,,,,,,,,,,,,,,,27''H,10''W,1''D,12,10''Hx4''D,CV4486-CLR,x,,x,x
TRUE,TRUE,TRUE,TRUE,,,S1260-WHT,848644018568,All Stems ,"Artificial Rock Cress Flower Stem - 27""",White,$1.43,$6.75,3,0,,12,Lavender-Blue-Purple,Cream-White,,,,,Other Varieties,,,,,,,,,,,,,,,,,,,,27''H,10''W,1''D,12,10''Hx4''D,CV4486-CLR,x,,x,x
