nav_section	label	page_url	path	has_custom_banner	desktop_banner_image	banner_alt
40% Off Sale	40% Off Sale	https://petals.com/sale/flash-sale/	/sale/flash-sale/	yes	https://cdn11.bigcommerce.com/s-r932bs4ubb/images/stencil/original/image-manager/lndg-strip-cp-flash-sale-0326.jpg	
Arrangements	Tropical	https://petals.com/artificial-flowers-stems-plants-trees/tropical	/artificial-flowers-stems-plants-trees/tropical	yes	https://cdn11.bigcommerce.com/s-r932bs4ubb/product_images/uploaded_images/arrang-tropical-lndg-21-1500-45-00-bc.jpg	
Arrangements	Best Selling Arrangements	https://petals.com/best-seller-silk-artificial-flower-arrangements	/best-seller-silk-artificial-flower-arrangements	yes	https://cdn11.bigcommerce.com/s-r932bs4ubb/product_images/uploaded_images/arrang-bestsellers-lndg-21-1500-450.jpg?t=1625085808&amp;_gl=1*fv9zpa*_ga*NjAwNjI4NzMyLjE2MjYxMzczNjI.*_ga_WS2VZYPC6G*MTYyNzUxODEwMC4zNS4xLjE2Mjc1MTkxODMuNjA.]	
Arrangements	Calla Lilies	https://petals.com/calla-lilies	/calla-lilies	yes	https://cdn11.bigcommerce.com/s-r932bs4ubb/product_images/uploaded_images/arrang-callalilies-lndg-21-1500-450-c.jpg	
Arrangements	Clearance	https://petals.com/clearance-sale-silk-flowers-trees-plants	/clearance-sale-silk-flowers-trees-plants	yes	https://cdn11.bigcommerce.com/s-r932bs4ubb/images/stencil/original/image-manager/lnd-clearance-sale-50.jpg	
Arrangements	Fall Arrangements	https://petals.com/fall-autumn-silk-flowers-arrangements	/fall-autumn-silk-flowers-arrangements	yes	https://cdn11.bigcommerce.com/s-r932bs4ubb/product_images/uploaded_images/petals-fall-arrangements-fall-2021.jpg	
Arrangements	Summer Arrangements	https://petals.com/full-silk-flower-plants-trees-collection	/full-silk-flower-plants-trees-collection	yes	https://cdn11.bigcommerce.com/s-r932bs4ubb/product_images/uploaded_images/summer-landing-pg-fla189-ms-b.jpg	
Arrangements	Holiday Arrangements	https://petals.com/holiday-collection/holiday-arrangements/	/holiday-collection/holiday-arrangements/	yes	https://cdn11.bigcommerce.com/s-r932bs4ubb/product_images/uploaded_images/hol-arrangements-lndgp-1500-450.jpg	
Arrangements	Hydrangeas	https://petals.com/hydrangeas-silk-flowers	/hydrangeas-silk-flowers	yes	https://cdn11.bigcommerce.com/s-r932bs4ubb/product_images/uploaded_images/arrang-hydrangeas-lndg-21-1500-450-b.jpg	
Arrangements	Mother's Day	https://petals.com/mothers-day-gifts	/mothers-day-gifts	no		
Arrangements	Other Varieties	https://petals.com/other-silk-arrangement-varieties	/other-silk-arrangement-varieties	yes	https://cdn11.bigcommerce.com/s-r932bs4ubb/product_images/uploaded_images/arrang-variety-lndg-21-1500-450-d.jpg	
Arrangements	Spring Arrangements	https://petals.com/seasonal-collections/spring	/seasonal-collections/spring	yes	https://cdn11.bigcommerce.com/s-r932bs4ubb/product_images/uploaded_images/lndg-spring-flb183-pk-1500.jpg	
Arrangements	Gift Ideas	https://petals.com/send-a-gift	/send-a-gift	yes	https://cdn11.bigcommerce.com/s-r932bs4ubb/images/stencil/original/image-manager/collection-gifts-lndg-v2.jpg	
Arrangements	Orchids	https://petals.com/silk-artificial-arrangement/orchids	/silk-artificial-arrangement/orchids	yes	https://cdn11.bigcommerce.com/s-r932bs4ubb/product_images/uploaded_images/arrang-orchids-lndg-21-1500-450-c.jpg	
