Title,Product Handle,Min,Max,Multiple
,10-sedum-artificial-foliage-stem-spray,3,,
,11-artificial-cymbidium-orchid-flower-stem,3,,
,11-artificial-phalaenopsis-orchid-foliage-with-roots,2,,
,12-5-daisy-silk-flower-stem-spray-x-3-with-bud,6,,
,12-artificial-agave-succulent-plant-foliage-x-2,2,,
,12-artificial-mini-sunflower-bundle,4,,
,12-mini-daisy-silk-flower-bundle,4,,
,12-snowball-hydrangea-silk-flower-bundle,3,,
,13-artificial-mini-english-ivy-bush,3,,
,13-artificial-nertera-berry-vine,3,,
,13-faux-echeveria-artificial-foliage-spray,2,,
,13-flocked-ruffle-echeveria-artificial-foliage-pick,3,,
,13-hen-chick-artificial-foliage-stem,2,,
,13-silk-ranunculus-flower-stem-spray,4,,
,13-velvet-silk-poinsettia-bush,2,,
,14-artificial-arroyo-pointed-pine-foliage-stem,6,,
,14-cabbage-rose-faux-flower-stem-spray,3,,
,14-dahlia-silk-flower-stem-spray,3,,
,14-faux-berry-foliage-stem-spray,2,,
,14-faux-cactus-stem-with-flower,3,,
,14-faux-magnolia-flower-stem,4,,
,14-hemlock-leaves-artificial-foliage-spray,6,,
,14-ranunculus-silk-flower-stem,6,,
,15-artificial-fern-leaves-foliage-spray,6,,
,16-artificial-grass-bush-foliage-with-buds,2,,
,16-wild-rose-silk-flower-stem,6,,
,17-5-artificial-cedar-spray-with-cones,3,,
,17-5-artificial-magnolia-leaf-foliage-cluster,2,,
,17-magnolia-silk-flower-stem-spray,2,,
,17-meadow-daisy-faux-flower-bundle,2,,
,18-5-silk-gerbera-daisy-flower-stem,6,,
,18-artificial-european-pine-foliage-stem-with-cones,3,,
,18-artificial-juniper-spray-with-blue-berry,2,,
,18-artificial-mini-dendrobium-orchid-foliage-stem,3,,
,18-artificial-mini-star-orchid-foliage-stem,2,,
,18-artificial-mixed-eucalyptus-foliage-stem-spray,3,,
,18-faux-anthurium-leaf-foliage-stem,4,,
,18-faux-cotton-pod-foliage-stem-spray,4,,
,18-mini-phalaenopsis-orchid-artificial-foliage-stem,2,,
,18-mother-in-laws-tounge-artificial-plant,2,,
,18-western-hemlock-with-cones-artificial-foliage-stem,3,,
,18-wild-lilac-silk-flower-stem-spray,3,,
,19-5-diamond-rose-silk-flower-stem-spray,3,,
,20-5-faux-hypericum-bud-flower-stem-spray,3,,
,20-artificial-eucalyptus-bush,2,,
,20-faux-berry-spray,3,,
,20-faux-monstera-leaf-foliage-stem,3,,
,21-5-cornflower-silk-flower-stem-spray,4,,
,21-5-cornflower-silk-flower-stem-spray-1,3,,
,21-artificial-hemlock-foliage-spray-with-cones,3,,
,21-artificial-podocarpus-leaves-foliage-stem-spray,6,,
,21-silk-hydrangea-flower-stem,3,,
,22-5-poppy-silk-flower-stem,4,,
,22-artificial-eucalyptus-seed-foliage-spray,3,,
,22-artificial-ficus-foliage-branch-x-3,6,,
,22-artificial-mini-leaves-foliage-spray,3,,
,22-artificial-mountain-grass-spray,2,,
,22-artificial-pearl-grass-bush-spray,2,,
,22-artificial-spiked-fern-bush-foliage,2,,
,23-5-faux-fuji-mum-silk-flower-stem,2,,
,23-5-silk-ranunculus-flower-stem-spray,2,,
,23-anemone-silk-flower-stem,4,,
,23-artificial-mum-foliage-spray-23,4,,
,23-poppy-silk-flower-spray,3,,
,24-achillea-artificial-flower-stem-spray,2,,
,24-artificial-mini-english-ivy-foliage-spray,4,,
,24-faux-tea-leaves-foliage-stem-spray,3,,
,24-mini-watermelon-pepperomia-faux-foliage-spray,4,,
,24-peony-silk-flower-stem,3,,
,24-silk-calla-lily-bud-flower-stem,3,,
,24-westland-artificial-ficus-leaf-foliage-branch,4,,
,24-zinnia-silk-flower-stem,3,,
,25-5-faux-flower-heather-stem,4,,
,25-alstroemeria-silk-flower-stem,4,,
,25-daisy-silk-flower-stem-spray,3,,
,25-faux-mountain-laurel-foliage-spray,4,,
,25-fluffy-ranunculus-silk-flower-stem-spray,3,,
,25-mini-fittonia-artificial-foliage-spray,4,,
,25-ranunculus-silk-flower-stem-spray,3,,
,25-silk-gerbera-daisy-faux-flower-stem,6,,
,25-snowball-hydrangea-silk-flower-stem-spray,3,,
,25-tiger-lily-silk-flower-stem-spray,3,,
,25-zinnia-silk-flower-stem,4,,
,26-cabbage-rose-silk-flower-stem,4,,
,26-cymbidium-leaf-artificial-plant-foliage-stem,2,,
,26-faux-crysanthemum-roblush-silk-flower-spray,2,,
,26-faux-shikiba-artificial-foliage-stem,2,,
,27-artificial-bamboo-foliage-branch-x-3,3,,
,27-artificial-rock-cress-flower-spray,3,,
,27-artificial-springerii-foliage-stem,3,,
,27-hybrid-lilac-silk-flower-stem-spray,4,,
,27-medium-silk-calla-lily-flower-stem,3,,
,27-silk-cherry-blossom-faux-flower-stem,2,,
,27-silk-tulip-flower-stem,3,,
,28-5-lilac-silk-flower-stem,2,,
,28-artificial-mistletoe-foliage-spray,3,,
,28-baby-cosmos-silk-flower-stem,3,,
,28-budding-thistle-artificial-foliage-stem-spray,2,,
,28-faux-heather-artificial-flower-stem-spray,4,,
,28-faux-iris-flower-stem,2,,
,28-large-silk-calla-lily-flower-stem,2,,
,28-plastic-fern-berries-faux-foliage-spray,2,,
,28-queen-anne-lace-faux-flower-stem-spray,4,,
,29-artificial-chestnut-branch-foliage-stem,3,,
,29-delphinium-silk-flower-stem,3,,
,29-fall-astilbe-faux-flower-spray,2,,
,29-faux-heliconia-flower-stem,3,,
