Title,Product Handle,Min,Max,Multiple
"10"" Sedum Artificial Foliage Stem Spray",10-sedum-artificial-foliage-stem-spray,3,,
"11"" Artificial Cymbidium Orchid Flower Stem",11-artificial-cymbidium-orchid-flower-stem,3,,
"11"" Artificial Phalaenopsis Orchid Foliage with Roots",11-artificial-phalaenopsis-orchid-foliage-with-roots,2,,

"12.5"" Daisy Silk Flower Stem Spray (x 3) with Bud",12-5-daisy-silk-flower-stem-spray-x-3-with-bud,6,,
"12"" Artificial Agave Succulent Plant Foliage (x 2)",12-artificial-agave-succulent-plant-foliage-x-2,2,,

"12"" Artificial Mini Sunflower Bundle",12-artificial-mini-sunflower-bundle,4,,
"12"" Mini Daisy Silk Flower Bundle",12-mini-daisy-silk-flower-bundle,4,,
"12"" Snowball Hydrangea Silk Flower Bundle",12-snowball-hydrangea-silk-flower-bundle,3,,
"13"" Artificial Mini English Ivy Bush",13-artificial-mini-english-ivy-bush,3,,
"13"" Artificial Nertera Berry Vine",13-artificial-nertera-berry-vine,3,,
"13"" Faux Echeveria Artificial Foliage Spray",13-faux-echeveria-artificial-foliage-spray,2,,
"13"" Flocked Ruffle Echeveria Artificial Foliage Pick",13-flocked-ruffle-echeveria-artificial-foliage-pick,3,,
"13"" Hen & Chick Artificial Foliage Stem",13-hen-chick-artificial-foliage-stem,2,,
"13"" Silk Ranunculus Flower Stem Spray",13-silk-ranunculus-flower-stem-spray,4,,
"13"" Velvet Silk Poinsettia Bush",13-velvet-silk-poinsettia-bush,2,,
"14"" Artificial Arroyo Pointed Pine Foliage Stem",14-artificial-arroyo-pointed-pine-foliage-stem,6,,
"14"" Cabbage Rose Faux Flower Stem Spray",14-cabbage-rose-faux-flower-stem-spray,3,,
"14"" Dahlia Silk Flower Stem Spray",14-dahlia-silk-flower-stem-spray,3,,
"14"" Faux Berry Foliage Stem Spray",14-faux-berry-foliage-stem-spray,2,,
"14"" Faux Cactus Stem with Flower",14-faux-cactus-stem-with-flower,3,,
"14"" Faux Magnolia Flower Stem",14-faux-magnolia-flower-stem,4,,
"14"" Hemlock Leaves Artificial Foliage Spray",14-hemlock-leaves-artificial-foliage-spray,6,,
"14"" Ranunculus Silk Flower Stem",14-ranunculus-silk-flower-stem,6,,
"15"" Artificial Fern Leaves Foliage Spray",15-artificial-fern-leaves-foliage-spray,6,,
"16"" Artificial Grass Bush Foliage with Buds",16-artificial-grass-bush-foliage-with-buds,2,,
"16"" Wild Rose Silk Flower Stem",16-wild-rose-silk-flower-stem,6,,
"17.5"" Artificial Cedar Spray with Cones",17-5-artificial-cedar-spray-with-cones,3,,
"17.5"" Artificial Magnolia Leaf Foliage Cluster",17-5-artificial-magnolia-leaf-foliage-cluster,2,,
"17"" Magnolia Silk Flower Stem Spray",17-magnolia-silk-flower-stem-spray,2,,
"17"" Meadow Daisy Faux Flower Bundle",17-meadow-daisy-faux-flower-bundle,2,,
"18.5"" Silk Gerbera Daisy Flower Stem",18-5-silk-gerbera-daisy-flower-stem,6,,
"18"" Artificial European Pine Foliage Stem with Cones",18-artificial-european-pine-foliage-stem-with-cones,3,,
"18"" Artificial Juniper Spray with Blue Berry",18-artificial-juniper-spray-with-blue-berry,2,,
"18"" Artificial Mini Dendrobium Orchid Stem",18-artificial-mini-dendrobium-orchid-foliage-stem,3,,
"18"" Artificial Mini Star Orchid Foliage Stem",18-artificial-mini-star-orchid-foliage-stem,2,,
"18"" Artificial Mixed Eucalyptus Foliage Stem Spray",18-artificial-mixed-eucalyptus-foliage-stem-spray,3,,
"18"" Faux Anthurium Leaf Foliage Stem",18-faux-anthurium-leaf-foliage-stem,4,,
18' Faux Cotton Pod Foliage Stem Spray,18-faux-cotton-pod-foliage-stem-spray,4,,
"18"" Mini Phalaenopsis Orchid Artificial Foliage Stem",18-mini-phalaenopsis-orchid-artificial-foliage-stem,2,,
"18"" Mother In Law's Tounge Artificial Plant",18-mother-in-laws-tounge-artificial-plant,2,,
"18"" Western Hemlock with Cones Artificial Foliage Stem",18-western-hemlock-with-cones-artificial-foliage-stem,3,,
"18"" Wild Lilac Silk Flower Stem Spray",18-wild-lilac-silk-flower-stem-spray,3,,
"19.5"" Diamond Rose Silk Flower Stem Spray",19-5-diamond-rose-silk-flower-stem-spray,3,,
"20.5"" Faux Hypericum Bud Flower Stem Spray",20-5-faux-hypericum-bud-flower-stem-spray,3,,
"20"" Artificial Eucalyptus Bush",20-artificial-eucalyptus-bush,2,,
"20"" Faux Berry Spray",20-faux-berry-spray,3,,
"20"" Faux Monstera Leaf Foliage Stem",20-faux-monstera-leaf-foliage-stem,3,,
"26"" Gypsophillia Spray.",21-5-cornflower-silk-flower-stem-spray,4,,
"21.5"" Cornflower Silk Flower Stem Spray",21-5-cornflower-silk-flower-stem-spray-1,3,,
"21"" Artificial Hemlock Foliage Spray with Cones",21-artificial-hemlock-foliage-spray-with-cones,3,,
"21"" Artificial Podocarpus Leaves Foliage Stem Spray",21-artificial-podocarpus-leaves-foliage-stem-spray,6,,
"21"" Silk Hydrangea Flower Stem",21-silk-hydrangea-flower-stem,3,,
"22.5"" Poppy Silk Flower Stem",22-5-poppy-silk-flower-stem,4,,
"22"" Artificial Eucalyptus Seed Foliage Spray",22-artificial-eucalyptus-seed-foliage-spray,3,,
"22"" Artificial Ficus Foliage Branch (x 3)",22-artificial-ficus-foliage-branch-x-3,6,,
"22"" Artificial Mini Leaves Foliage Spray",22-artificial-mini-leaves-foliage-spray,3,,
"22"" Artificial Mountain Grass Spray",22-artificial-mountain-grass-spray,2,,
"22"" Artificial Pearl Grass Bush Spray",22-artificial-pearl-grass-bush-spray,2,,
"22"" Artificial Spiked Fern Bush Foliage",22-artificial-spiked-fern-bush-foliage,2,,
"23.5"" Faux Fuji Mum Silk Flower Stem",23-5-faux-fuji-mum-silk-flower-stem,2,,
"23.5"" Silk Ranunculus Flower Stem Spray",23-5-silk-ranunculus-flower-stem-spray,2,,
"23"" Anemone Silk Flower Stem",23-anemone-silk-flower-stem,4,,
"23"" Artificial Mum Foliage Spray - 23""",23-artificial-mum-foliage-spray-23,4,,
"23"" Poppy Silk Flower Spray",23-poppy-silk-flower-spray,3,,
"24"" Achillea Artificial Flower Stem Spray",24-achillea-artificial-flower-stem-spray,2,,
"24"" Artificial Mini English Ivy Foliage Spray",24-artificial-mini-english-ivy-foliage-spray,4,,
"24"" Faux Tea Leaves Foliage Stem Spray",24-faux-tea-leaves-foliage-stem-spray,3,,
"24"" Mini Watermelon Pepperomia Faux Foliage Spray",24-mini-watermelon-pepperomia-faux-foliage-spray,4,,
"24"" Peony Silk Flower Stem",24-peony-silk-flower-stem,3,,
"24"" Silk Calla Lily Bud Flower Stem",24-silk-calla-lily-bud-flower-stem,3,,
"24"" Westland Artificial Ficus Leaf Foliage Branch",24-westland-artificial-ficus-leaf-foliage-branch,4,,
"24"" Zinnia Silk Flower Stem",24-zinnia-silk-flower-stem,3,,
"25.5"" Faux Flower Heather Stem",25-5-faux-flower-heather-stem,4,,
