Count,Item Type,Product ID,Product SKU,Product Name,Product Custom Fields,Extracted Cross Sell SKUs
882,Product,6166,S4398,"29"" Blown Open Rose Silk Flower Stem","Colors=Peach-Coral-Orange;Colors=Lavender-Blue-Purple;Colors=Pink-Fuchsia-Beauty;Colors=Red-Burgundy;Colors=Cream-White;Colors=Yellow-Gold;""Size=25"""" and Over"";""Cart Upsells=CV4809-CLR,ACF100-CL"";""Type=Roses & Ranunculus"";Season=Spring;Season=Summer","CV4809-CLR,ACF100-CL"
897,Product,6167,S4665,"18.5"" Silk Gerbera Daisy Flower Stem","Season=Summer;Colors=Pink-Fuchsia-Beauty;Colors=Peach-Coral-Orange;Colors=Red-Burgundy;Colors=Cream-White;Colors=Yellow-Gold;""Cart Upsells=CV6049-CLR,ACF100-CL"";Type=Daisies","CV6049-CLR,ACF100-CL"
908,Product,6168,S1253,"29"" Delphinium Silk Flower Stem","Colors=Lavender-Blue-Purple;Colors=Cream-White;Colors=Pink-Fuchsia-Beauty;""Cart Upsells=CV4486-CLR,ACF100-CL"";""Type=Other Varieties""","CV4486-CLR,ACF100-CL"
917,Product,6169,S1276-WHT,"14"" Faux Magnolia Flower Stem","Colors=Cream-White;""Size=5"""" to 18"""""";""Cart Upsells=CV6048-CLR,ACF100-CL"";Type=Magnolias","CV6048-CLR,ACF100-CL"
918,Product,6170,S1577,"21"" Silk Hydrangea Flower Stem","Season=Summer;Season=Spring;Colors=Cream-White;Colors=Green-Brown-Beige;Colors=Lavender-Blue-Purple;Colors=Peach-Coral-Orange;""Cart Upsells=CV4486-CLR,ACF100-CL"";Type=Hydrangeas","CV4486-CLR,ACF100-CL"
931,Product,6171,S1802-CHPN,"24"" Faux Tree Magnolia Flower Stem","Colors=Cream-White;""Size=19"""" to 24"""""";Season=Spring;Season=Summer;""Cart Upsells=CV6049-CLR,ACF100-CL"";Type=Magnolias","CV6049-CLR,ACF100-CL"
933,Product,6173,S2865,"24"" Zinnia Silk Flower Stem","Season=Summer;Season=Fall;Colors=Pink-Fuchsia-Beauty;Colors=Yellow-Gold;Colors=Green-Brown-Beige;Colors=Peach-Coral-Orange;""Cart Upsells=CV4486-CLR,ACF100-CL"";Type=Zinnias","CV4486-CLR,ACF100-CL"
946,Product,6174,S3047-GR,"35"" Faux Bird of Paradise Leaf Stem","Season=Summer;Colors=Green-Brown-Beige;""Size=25"""" and Over"";""Cart Upsells=CV6049-CLR,ACF100-CL"";Type=Tropical;""Type=Greenery & Foliage""","CV6049-CLR,ACF100-CL"
947,Product,6175,S3059-BR,"48"" Faux Curly Willow Foliage Stem","Colors=Green-Brown-Beige;""Size=25"""" and Over"";""Cart Upsells=CV6058-CLR,ACF100-CL"";""Type=Twigs & Branches"";""Type=Greenery & Foliage""","CV6058-CLR,ACF100-CL"
948,Product,6176,S3064,"24"" Silk Calla Lily Bud Flower Stem","Colors=Cream-White;Colors=Red-Burgundy;Colors=Green-Brown-Beige;Colors=Peach-Coral-Orange;Colors=Yellow-Gold;""Size=19"""" to 24"""""";""Cart Upsells=CV6058-CLR,ACF100-CL"";""Type=Calla Lilies""","CV6058-CLR,ACF100-CL"
959,Product,6177,S3068,"33"" Artificial Lilac Flower Stem Spray","Colors=Lavender-Blue-Purple;Colors=Cream-White;Season=Spring;""Cart Upsells=CV4809-CLR,ACF100-CL"";""Type=Other Varieties""","CV4809-CLR,ACF100-CL"
964,Product,6178,S3080,"28"" Large Silk Calla Lily Flower Stem","Colors=Cream-White;Colors=Red-Burgundy;Colors=Peach-Coral-Orange;Colors=Yellow-Gold;""Size=25"""" and Over"";""Cart Upsells=CV4809-CLR,ACF100-CL"";""Type=Calla Lilies""","CV4809-CLR,ACF100-CL"
973,Product,6179,S3081,"27"" Medium Silk Calla Lily Flower Stem","Colors=Cream-White;Colors=Red-Burgundy;Colors=Green-Brown-Beige;Colors=Peach-Coral-Orange;Colors=Yellow-Gold;""Size=25"""" and Over"";""Type=Calla Lilies"";""Cart Upsells=CV4486-CLR,ACF100-CL""","CV4486-CLR,ACF100-CL"
984,Product,6180,S4008-GR,"40"" Artificial Fern Foliage Branch","Colors=Green-Brown-Beige;""Size=25"""" and Over"";""Cart Upsells=CV4809-CLR,ACF100-CL"";""Type=Greenery & Foliage""","CV4809-CLR,ACF100-CL"
985,Product,6181,S4009-GR,"36"" Artificial Cycas Foliage Branch","Colors=Green-Brown-Beige;""Size=25"""" and Over"";""Cart Upsells=CV4809-CLR,ACF100-CL"";""Type=Greenery & Foliage"";Type=Tropical","CV4809-CLR,ACF100-CL"
986,Product,6182,S4059-GR,"27"" Artificial Springerii Foliage Stem","Colors=Green-Brown-Beige;""Size=25"""" and Over"";""Cart Upsells=CV4486-CLR,ACF100-CL""","CV4486-CLR,ACF100-CL"
988,Product,6184,S4071-BR,"52"" Artificial Birch Twig Branch Stem","Colors=Green-Brown-Beige;""Size=25"""" and Over"";""Cart Upsells=CV6058-CLR,ACF100-CL"";""Type=Twigs & Branches""","CV6058-CLR,ACF100-CL"
989,Product,6185,S4078,"27"" Silk Tulip Flower Stem","Colors=Cream-White;Colors=Pink-Fuchsia-Beauty;Colors=Red-Burgundy;Colors=Yellow-Gold;""Size=25"""" and Over"";Season=Spring;""Cart Upsells=CV4809-CLR,ACF100-CL"";Type=Tulips","CV4809-CLR,ACF100-CL"
998,Product,6186,S4159-TTGR,"42"" Artificial Himalayas Grass Foliage Stem","Colors=Green-Brown-Beige;""Size=25"""" and Over"";""Cart Upsells=CV4809-CLR,ACF100-CL"";""Type=Greenery & Foliage""","CV4809-CLR,ACF100-CL"
999,Product,6187,S4167,"35"" Artificial Phalaenopsis Orchid Stem","Colors=Cream-White;Colors=Pink-Fuchsia-Beauty;""Size=25"""" and Over"";Colors=Yellow-Gold;""Cart Upsells=CV4809-CLR,ACF100-CL"";Type=Orchids","CV4809-CLR,ACF100-CL"
1006,Product,6188,S4188-YL,"29"" Large Sunflower Silk Flower Stem","Colors=Yellow-Gold;""Size=25"""" and Over"";Season=Summer;Season=Fall;""Cart Upsells=CV4809-CLR,ACF100-CL"";Type=Sunflowers","CV4809-CLR,ACF100-CL"
1008,Product,6190,S4220,"29"" Open Rose Silk Flower Stem","Colors=Peach-Coral-Orange;Colors=Lavender-Blue-Purple;Colors=Pink-Fuchsia-Beauty;Colors=Red-Burgundy;Colors=Cream-White;Colors=Yellow-Gold;""Size=25"""" and Over"";""Cart Upsells=CV4809-CLR,ACF100-CL"";""Type=Roses & Ranunculus""","CV4809-CLR,ACF100-CL"
1023,Product,6191,S4221,"30"" Rose Bud Silk Flower Stem","Colors=Peach-Coral-Orange;Colors=Lavender-Blue-Purple;Colors=Pink-Fuchsia-Beauty;Colors=Red-Burgundy;Colors=Cream-White;Colors=Yellow-Gold;""Size=25"""" and Over"";""Cart Upsells=CV4809-CLR, ACF100-CL"";""Type=Roses & Ranunculus""","CV4809-CLR, ACF100-CL"
1038,Product,6192,S4275-WH,"24"" Medium Faux Magnolia Flower Stem","Colors=Cream-White;""Size=19"""" to 24"""""";""Cart Upsells=CV4809-CLR,ACF100-CL"";Type=Magnolias","CV4809-CLR,ACF100-CL"
1039,Product,6193,S4276-WH,"24"" Large Faux Magnolia Flower Stem","Colors=Cream-White;""Size=25"""" and Over"";""Cart Upsells=CV4809-CLR,ACF100-CL"";Type=Magnolias","CV4809-CLR,ACF100-CL"
1040,Product,6194,S4565-YE,"41"" Forsythia Silk Flower Stem","Colors=Yellow-Gold;Season=Spring;""Size=25"""" and Over"";""Cart Upsells=CV4809-CLR,ACF100-CL"";""Type=Other Varieties"";""Type=Twigs & Branches""","CV4809-CLR,ACF100-CL"
1041,Product,6195,S4567-GR,"30.5"" Large Monstera Leaf Artificial Foliage Stem","Colors=Green-Brown-Beige;""Size=25"""" and Over"";""Cart Upsells=CV4809-CLR,ACF100-CL"";""Type=Greenery & Foliage""","CV4809-CLR,ACF100-CL"
1042,Product,6196,S4569-GR,"24"" Westland Artificial Ficus Leaf Foliage Branch","Colors=Green-Brown-Beige;""Size=19"""" to 24"""""";""Cart Upsells=CV4486-CLR,ACF100-CL"";""Type=Greenery & Foliage""","CV4486-CLR,ACF100-CL"
1043,Product,6197,S4580,"29"" Faux Heliconia Flower Stem","Colors=Peach-Coral-Orange;Colors=Red-Burgundy;""Size=25"""" and Over"";""Cart Upsells=CV4809-CLR,ACF100-CL"";Type=Tropical","CV4809-CLR,ACF100-CL"
1048,Product,6198,S4648,"39"" Faux Dogwood Branch","Season=Spring;Colors=Pink-Fuchsia-Beauty;Colors=Cream-White;""Size=25"""" and Over"";""Cart Upsells=CV4809-CLR,ACF100-CL"";""Type=Other Varieties""","CV4809-CLR,ACF100-CL"
1053,Product,6199,S4649-GR,"34"" Viburnum Silk Flower Stem","Colors=Green-Brown-Beige;""Size=25"""" and Over"";""Cart Upsells=CV4809-CLR,ACF100-CL"";""Type=Other Varieties""","CV4809-CLR,ACF100-CL"
1054,Product,6200,S4667,"38"" Artificial Dancing Orchid Flower Stem","Colors=Peach-Coral-Orange;""Size=25"""" and Over"";""Cart Upsells=CV4809-CLR,ACF100-CL"";Type=Orchids","CV4809-CLR,ACF100-CL"
1061,Product,6201,S4675-ORPU,"33"" Artificial Bird of Paradise Flower Stem","Colors=Peach-Coral-Orange;""Cart Upsells=CV4809-CLR,ACF100-CL"";Type=Tropical","CV4809-CLR,ACF100-CL"
1062,Product,6202,S4683-CR,"43"" Artificial Birch Twig Stem","Colors=Cream-White;""Size=25"""" and Over"";""Cart Upsells=CV4809-CLR,ACF100-CL"";""Type=Twigs & Branches"";Season=Fall;Season=Holiday","CV4809-CLR,ACF100-CL"
1063,Product,6203,S4688,"24"" Peony Silk Flower Stem","Season=Summer;Colors=Pink-Fuchsia-Beauty;Colors=Cream-White;Colors=Lavender-Blue-Purple;""Size=19"""" to 24"""""";""Cart Upsells=CV4486-CLR,ACF100-CL"";Type=Peonies","CV4486-CLR,ACF100-CL"
1081,Product,6205,S4900,"31"" Artificial Torch Ginger Stem","Colors=Peach-Coral-Orange;Colors=Yellow-Gold;""Size=25"""" and Over"";""Cart Upsells=CV4809-CLR,ACF100-CL"";Type=Tropical","CV4809-CLR,ACF100-CL"
1086,Product,6206,S4901,"33"" Silk Hydrangea Faux Flower Stem","Colors=Lavender-Blue-Purple;Colors=Cream-White;Colors=Peach-Coral-Orange;Season=Spring;Season=Summer;""Size=25"""" and Over"";""Cart Upsells=CV6058-CLR,ACF100-CL"";Type=Hydrangeas","CV6058-CLR,ACF100-CL"
1101,Product,6213,S4902,"35"" Gladiola Silk Flower Stem","Colors=Peach-Coral-Orange;Colors=Red-Burgundy;Colors=Cream-White;Colors=Yellow-Gold;Season=Summer;""Size=25"""" and Over"";""Cart Upsells=CV4809-CLR,ACF100-CL"";""Type=Other Varieties""","CV4809-CLR,ACF100-CL"
1110,Product,6214,S4903,"23"" Poppy Silk Flower Spray","Colors=Peach-Coral-Orange;Colors=Red-Burgundy;Colors=Yellow-Gold;Season=Summer;""Size=19"""" to 24"""""";""Cart Upsells=CV6049-CLR,ACF100-CL"";Type=Poppies","CV6049-CLR,ACF100-CL"
1119,Product,6215,S4905,"30"" Tiger Lily Silk Flower Stem","Colors=Peach-Coral-Orange;Colors=Red-Burgundy;Colors=Cream-White;Colors=Yellow-Gold;Season=Summer;""Size=25"""" and Over"";""Cart Upsells=CV4809-CLR,ACF100-CL"";Type=Lilies","CV4809-CLR,ACF100-CL"
1128,Product,6216,S4965,"27"" Silk Cherry Blossom Faux Flower Stem","Colors=Pink-Fuchsia-Beauty;Colors=Cream-White;Season=Spring;""Size=25"""" and Over"";""Cart Upsells=CV4809-CLR,ACF100-CL"";""Type=Other Varieties""","CV4809-CLR,ACF100-CL"
1135,Product,6217,S4966,"46"" Silk Cherry Blossom Flower Stem","Colors=Pink-Fuchsia-Beauty;Colors=Cream-White;Season=Spring;""Size=25"""" and Over"";""Cart Upsells=CV6058-CLR,ACF100-CL"";""Type=Other Varieties""","CV6058-CLR,ACF100-CL"
1142,Product,6218,S5003,"25"" Silk Gerbera Daisy Faux Flower Stem","Colors=Pink-Fuchsia-Beauty;Colors=Peach-Coral-Orange;Colors=Cream-White;Colors=Yellow-Gold;Season=Summer;""Size=25"""" and Over"";""Cart Upsells=CV4809-CLR,ACF100-CL"";Type=Daisies","CV4809-CLR,ACF100-CL"
1151,Product,6219,S5080,"30"" Cosmos Silk Flower Stem","Colors=Peach-Coral-Orange;Colors=Lavender-Blue-Purple;Colors=Pink-Fuchsia-Beauty;""Size=25"""" and Over"";Season=Spring;Season=Summer;""Cart Upsells=CV6049-CLR,ACF100-CL"";""Type=Other Varieties""","CV6049-CLR,ACF100-CL"
1158,Product,6220,S5082,"30"" Queen Anne's Lace Faux Flower Stem","Colors=Lavender-Blue-Purple;Colors=Cream-White;Season=Spring;Season=Summer;""Size=25"""" and Over"";""Cart Upsells=CV4809-CLR,ACF100-CL"";""Type=Other Varieties""","CV4809-CLR,ACF100-CL"
1163,Product,6221,S5096,"39"" Cone Hydrangea Artificial Flower Stem","Colors=Green-Brown-Beige;Colors=Cream-White;Season=Spring;Season=Summer;""Size=25"""" and Over"";""Cart Upsells=CV6058-CLR,ACF100-CL"";Type=Hydrangeas","CV6058-CLR,ACF100-CL"
1168,Product,6222,S5098,"28"" Faux Iris Flower Stem","Colors=Yellow-Gold;Colors=Lavender-Blue-Purple;Season=Spring;""Size=25"""" and Over"";""Cart Upsells=CV4809-CLR,ACF100-CL"";""Type=Other Varieties""","CV4809-CLR,ACF100-CL"
1173,Product,6223,S6000,"28.5"" Lilac Silk Flower Stem","Colors=Pink-Fuchsia-Beauty;Colors=Cream-White;Colors=Lavender-Blue-Purple;Season=Spring;""Size=25"""" and Over"";""Cart Upsells=CV4809-CLR,ACF100-CL"";""Type=Other Varieties""","CV4809-CLR,ACF100-CL"
1182,Product,6224,S4181,"29"" Faux Achillea Foliage Silk Flower Spray","Colors=Green-Brown-Beige;Colors=Red-Burgundy;""Size=25"""" and Over"";""Cart Upsells=CV4809-CLR, ACF100-CL"";""Type=Other Varieties""","CV4809-CLR, ACF100-CL"
1187,Product,6225,S4518-GR,"36"" Wild Thyme Artificial Foliage Stem Spray","Colors=Green-Brown-Beige;""Size=25"""" and Over"";""Cart Upsells=CV4809-CLR,ACF100-CL"";""Type=Greenery & Foliage""","CV4809-CLR,ACF100-CL"
1188,Product,6226,S4562,"12.5"" Daisy Silk Flower Stem Spray (x 3) with Bud","Colors=Cream-White;Colors=Yellow-Gold;Season=Summer;""Size=5"""" to 18"""""";""Cart Upsells=CV6048-CLR,ACF100-CL"";Type=Daisies","CV6048-CLR,ACF100-CL"
1193,Product,6227,S4897,"18"" Wild Lilac Silk Flower Stem Spray","Colors=Cream-White;Colors=Yellow-Gold;Colors=Pink-Fuchsia-Beauty;""Size=5"""" to 18"""""";Season=Spring;""Cart Upsells=CV6049-CLR,ACF100-CL"";""Type=Other Varieties""","CV6049-CLR,ACF100-CL"
1202,Product,6228,S4934-SG,"22"" Artificial Eucalyptus Seed Foliage Spray","Colors=Green-Brown-Beige;""Size=19"""" to 24"""""";""Cart Upsells=Cv6049-CLR,ACF100-CL"";""Type=Greenery & Foliage""","Cv6049-CLR,ACF100-CL"
1203,Product,6229,S4962-GR,"24"" Faux Tea Leaves Foliage Stem Spray","Colors=Green-Brown-Beige;""Size=19"""" to 24"""""";""Cart Upsells=CV6049-CLR,ACF100-CL"";""Type=Greenery & Foliage""","CV6049-CLR,ACF100-CL"
1204,Product,6230,S5069-GRCR,"24"" Mini Watermelon Pepperomia Faux Foliage Spray","Colors=Green-Brown-Beige;""Size=19"""" to 24"""""";""Cart Upsells=CV6049-CLR"";""Type=Greenery & Foliage""",CV6049-CLR
1205,Product,6231,S5070-GRCR,"25"" Mini Fittonia Artificial Foliage Spray","Colors=Green-Brown-Beige;""Size=25"""" and Over"";""Cart Upsells=CV6049-CLR,ACF100-CL"";""Type=Greenery & Foliage""","CV6049-CLR,ACF100-CL"
1206,Product,6232,S5071-GR,"25"" Faux Mountain Laurel Foliage Spray","Colors=Green-Brown-Beige;""Size=25"""" and Over"";""Cart Upsells=CV6049-CLR,ACF100-CL"";""Type=Greenery & Foliage""","CV6049-CLR,ACF100-CL"
1214,Product,6234,S5083,"14"" Cabbage Rose Faux Flower Stem Spray","""Cart Upsells=CV6048-CLR,ACF100-CL"";""Type=Roses & Ranunculus"";""Size=5"""" to 18"""""";Color=Red-Burgundy;Color=Peach-Coral-Orange;Color=Pink-Fuchsia-Beauty;Color=Cream-White","CV6048-CLR,ACF100-CL"
1223,Product,6235,S5091,"22"" Artificial Mini Leaves Foliage Spray","""Cart Upsells=CV6048-CLR,ACF100-CL"";""Type=Roses & Ranunculus"";""Size=5"""" to 18"""""";Color=Red-Burgundy;Color=Peach-Coral-Orange;Color=Pink-Fuchsia-Beauty;Color=Cream-White","CV6048-CLR,ACF100-CL"
1229,Product,6237,S5093,"28"" Queen Anne Lace Faux Flower Stem Spray","Colors=Cream-White;Colors=Yellow-Gold;""Size=25"""" and Over"";""Cart Upsells=CV4809-CLR,ACF100-CL"";""Type=Other Varieties""","CV4809-CLR,ACF100-CL"
1234,Product,6238,S5094,"17"" Meadow Daisy Faux Flower Bundle","Colors=Cream-White;Colors=Yellow-Gold;""Size=25"""" and Over"";""Cart Upsells=CV4809-CLR,ACF100-CL"";""Type=Other Varieties""","CV4809-CLR,ACF100-CL"
1239,Product,6239,S5095,"30.5"" Rambling Rose Silk Flower Stem Spray","Colors=Lavender-Blue-Purple;Colors=Red-Burgundy;""Size=25"""" and Over"";""Cart Upsells=CV4809-CLR,ACF100-CL"";""Type=Roses & Ranunculus""","CV4809-CLR,ACF100-CL"
1248,Product,6244,S3073,"26"" Gypsophillia Spray.","Colors=Lavender-Blue-Purple;Colors=Red-Burgundy;""Size=25"""" and Over"";""Cart Upsells=CV4809-CLR,ACF100-CL"";""Type=Roses & Ranunculus""","CV4809-CLR,ACF100-CL"
1253,Product,6245,S4061,"23.5"" Faux Fuji Mum Silk Flower Stem","Colors=Lavender-Blue-Purple;Colors=Red-Burgundy;""Size=25"""" and Over"";""Cart Upsells=CV4809-CLR,ACF100-CL"";""Type=Roses & Ranunculus""","CV4809-CLR,ACF100-CL"
1259,Product,6247,S4075,"28"" Baby Cosmos Silk Flower Stem","Colors=Lavender-Blue-Purple;Colors=Red-Burgundy;""Size=25"""" and Over"";""Cart Upsells=CV4809-CLR,ACF100-CL"";""Type=Roses & Ranunculus""","CV4809-CLR,ACF100-CL"
1264,Product,6248,S4077,"25"" Zinnia Silk Flower Stem","Colors=Lavender-Blue-Purple;Colors=Red-Burgundy;""Size=25"""" and Over"";""Cart Upsells=CV4809-CLR,ACF100-CL"";""Type=Roses & Ranunculus""","CV4809-CLR,ACF100-CL"
