shopify_handle	shopify_title	label	filename	shopify_banner_url	path	status
artificial-and-silk-bonsai-tabletop-trees	Bonsai Trees	Bonsai Trees	trees-bonsai-lndg-21-1500-450-b.jpg	https://cdn.shopify.com/s/files/1/0626/3681/8505/files/trees-bonsai-lndg-21-1500-450-b.jpg	/artificial-and-silk-bonsai-tabletop-trees	found
artificial-and-silk-trees	Trees	All Trees	trees-main-lndg-21-1500-450-b.jpg	https://cdn.shopify.com/s/files/1/0626/3681/8505/files/trees-main-lndg-21-1500-450-b.jpg	/artificial-and-silk-trees	found
artificial-wreaths-garlands	Wreaths	All Wreaths	wreaths-summer-main-wra258-mp.jpg	https://cdn.shopify.com/s/files/1/0626/3681/8505/files/wreaths-summer-main-wra258-mp.jpg	/artificial-wreaths-garlands	found
bamboo-trees	Bamboo & Palm Trees	Bamboo & Palm Trees	trees-bamboo-lndg-21-1500-450.jpg	https://cdn.shopify.com/s/files/1/0626/3681/8505/files/trees-bamboo-lndg-21-1500-450.jpg	/artificial-and-silk-trees/bamboo-trees	found
best-seller-artificial-plants	Best Selling Plants	Best Selling Plants	plants-bs-lndg-21-1500-45-0.jpg	https://cdn.shopify.com/s/files/1/0626/3681/8505/files/plants-bs-lndg-21-1500-45-0.jpg	/best-seller-artificial-plants	found
best-seller-silk-artificial-flower-arrangements	Best Selling Arrangements	Best Selling Arrangements	arrang-bestsellers-lndg-21-1500-450.jpg	https://cdn.shopify.com/s/files/1/0626/3681/8505/files/arrang-bestsellers-lndg-21-1500-450.jpg	/best-seller-silk-artificial-flower-arrangements	found
best-seller-silk-artificial-trees	Best Selling Trees	Best Selling Trees	bestsellers-trees-lndg-21-1500-45-0.jpg	https://cdn.shopify.com/s/files/1/0626/3681/8505/files/bestsellers-trees-lndg-21-1500-45-0.jpg	/best-seller-silk-artificial-trees	found
best-seller-silk-flowers-artificial-plants-trees	Best Sellers	All Best Sellers	bestsellers-main-lndg-21-1500-45-b.jpg	https://cdn.shopify.com/s/files/1/0626/3681/8505/files/bestsellers-main-lndg-21-1500-45-b.jpg	/best-seller-silk-flowers-artificial-plants-trees	found
calla-lilies	Calla Lilies	Calla Lilies	arrang-callalilies-lndg-21-1500-450-c.jpg	https://cdn.shopify.com/s/files/1/0626/3681/8505/files/arrang-callalilies-lndg-21-1500-450-c.jpg	/calla-lilies	found
centerpieces	Centerpieces	Centerpieces	arrang-centerpieces-lndg-1500-450-flb168-rdw-b.jpg	https://cdn.shopify.com/s/files/1/0626/3681/8505/files/arrang-centerpieces-lndg-1500-450-flb168-rdw-b.jpg	/silk-floral-arrangements/centerpieces	found
champagne-elegance-collection	Champagne Elegance Collection	Champagne Elegance Collection	petals-holiday-champagne-elegance-collection-lndgp-1500-450.jpg	https://cdn.shopify.com/s/files/1/0626/3681/8505/files/petals-holiday-champagne-elegance-collection-lndgp-1500-450.jpg	/holiday-collection/champagne-elegance-collection/	found
christmas	Holiday Centerpieces	Holiday Centerpieces	hol-centerpieces-lndgp-1500-450.jpg	https://cdn.shopify.com/s/files/1/0626/3681/8505/files/hol-centerpieces-lndgp-1500-450.jpg	/holiday-seasonal-centerpieces-arrangements/christmas	found
christmas	Holiday Centerpieces	Holiday Gifts	hol21-gifts-landing-1500-450.jpg	https://cdn.shopify.com/s/files/1/0626/3681/8505/files/hol21-gifts-landing-1500-450.jpg	/holiday-gift-collection/christmas	found
clearance-sale-silk-flowers-trees-plants	Clearance	Clearance	lnd-clearance-sale-50.jpg	https://cdn.shopify.com/s/files/1/0626/3681/8505/files/lnd-clearance-sale-50.jpg	/clearance-sale-silk-flowers-trees-plants	found
containers-accessories	Containers, Vases & Accessories	Plant Accessories	containers-accessories-ldg-21-d.jpg	https://cdn.shopify.com/s/files/1/0626/3681/8505/files/containers-accessories-ldg-21-d.jpg	/containers-accessories	found
end-of-year-sale	End of Year Sale!	End Of Year Sale	eoy26-lndpg-c.jpg	https://cdn.shopify.com/s/files/1/0626/3681/8505/files/eoy26-lndpg-c.jpg	/sale/end-of-year-sale/	found
estate-silk-flowers	Estate Florals	Estate Florals	collection-estate-lndg-21-1500-450-b.jpg	https://cdn.shopify.com/s/files/1/0626/3681/8505/files/collection-estate-lndg-21-1500-450-b.jpg	/estate-silk-flowers	found
eucalyptus-pine-berries-collection	Eucalyptus, Pine & Berries Collection	Eucalyptus, Pine & Berries Collection	petals-holiday-mixed-eucalyptus-lndgp-1500-450.jpg	https://cdn.shopify.com/s/files/1/0626/3681/8505/files/petals-holiday-mixed-eucalyptus-lndgp-1500-450.jpg	/holiday-collection/eucalyptus-pine-berries-collection/	found
fall	Fall & Autumn Wreaths & Swags	Autumn Wreaths & Teardrops	petals-fall-wreaths-garland-swags-cat-collection-v2.jpg	https://cdn.shopify.com/s/files/1/0626/3681/8505/files/petals-fall-wreaths-garland-swags-cat-collection-v2.jpg	/silk-wreaths-and-garlands/fall	found
fall-seasonal-collections	Fall Seasonal Collections	Fall Arrangements	petals-fall-arrangements-fall-2021.jpg	https://cdn.shopify.com/s/files/1/0626/3681/8505/files/petals-fall-arrangements-fall-2021.jpg	/fall-autumn-silk-flowers-arrangements	found
fall-seasonal-collections	Fall Seasonal Collections	Fall	seasonal-fall-lndg-1500-450-flb196-mp-b.jpg	https://cdn.shopify.com/s/files/1/0626/3681/8505/files/seasonal-fall-lndg-1500-450-flb196-mp-b.jpg	/fall-autumn-view-all/seasonal-collections	found
farmhouse-flowers	Farmhouse Chic	Farmhouse Chic	collection-farmhouse-lndg-21-1500-450.jpg	https://cdn.shopify.com/s/files/1/0626/3681/8505/files/collection-farmhouse-lndg-21-1500-450.jpg	/farmhouse-flowers	found
floor-plants	Floor Plants	Floor Plants	plants-floorplants-lndg-21-1500-450-b.jpg	https://cdn.shopify.com/s/files/1/0626/3681/8505/files/plants-floorplants-lndg-21-1500-450-b.jpg	/artificial-and-silk-plants/floor-plants	found
flowering-silk-artificial-plants	Flowering Silk Plants	Flowering Plants	plants-flowering-lndg-21-1500-450-d.jpg	https://cdn.shopify.com/s/files/1/0626/3681/8505/files/plants-flowering-lndg-21-1500-450-d.jpg	/flowering-silk-artificial-plants	found
flowers	Stems	All Stems	stems-reimagined-1500-450-2-b.jpg	https://cdn.shopify.com/s/files/1/0626/3681/8505/files/stems-reimagined-1500-450-2-b.jpg	/silk-flower-stems/flowers	found
garden-inspired-silk-flowers-plants	Garden Inspired	Garden Inspired	collection-garden-lndg-21-1500-450.jpg	https://cdn.shopify.com/s/files/1/0626/3681/8505/files/collection-garden-lndg-21-1500-450.jpg	/garden-inspired-silk-flowers-plants	found
gifting	Gifts	Gift Ideas	collection-gifts-lndg-v2.jpg	https://cdn.shopify.com/s/files/1/0626/3681/8505/files/collection-gifts-lndg-v2.jpg	/send-a-gift	found
