SKU,Product Name,Min Q,UPC
S1773-WH,"Artificial Vanda Orchid Spray - 33""",2,848644018575
S1773-XMRD,"Artificial Vanda Orchid Spray - 33""",2,848644018582
S2347-GR,"Artificial Pearl Grass Bush Spray - 22""",2,848644017189
S3023-BU,"Artificial Mountain Grass Spray - 22""",2,848644018599
S3023-LTGR,"Artificial Mountain Grass Spray - 22""",2,848644018605
S3059-BR,"Faux Curly Willow Flower Stem - 48""",2,848644017264
S3068-LV,"Artificial Lilac Flower Stem Spray - 33""",2,848644017332
S3068-WH,"Artificial Lilac Flower Stem Spray - 33""",2,848644017325
S3069-GR,"Fall Astilbe Faux Flower Spray - 29""",2,848644018612
S3071-DKOR,"Silk Ranunculus Flower Stem Spray - 23.5""",2,848644018629
S3071-ORYE,"Silk Ranunculus Flower Stem Spray - 23.5""",2,848644018636
S3074-GR,"Artificial Phalaenopsis Orchid Foliage with Roots - 11""",2,848644018681
S3080-CR,"Large Silk Calla Lily Flower Stem - 28""",2,848644017349
S3080-EP,"Large Silk Calla Lily Flower Stem - 28""",2,848644017356
S3080-OR,"Large Silk Calla Lily Flower Stem - 28""",2,848644017363
S3080-YE,"Large Silk Calla Lily Flower Stem - 28""",2,848644017370
S4008-GR,"Artificial Fern Foliage Branch - 40""",2,848644017431
S4009-GR,"Artificial Cycas Foliage Branch - 36""",2,848644017448
S4058-GR,"Artificial Spiked Fern Bush Foliage - 22""",2,848644018698
S4061-BUYE,"Faux Fuji Mum Silk Flower Stem - 23.5""",2,848644018704
S4061-ORYE,"Faux Fuji Mum Silk Flower Stem - 23.5""",2,848644018711
S4071-BR,"Artificial Birch Twig Branch Foliage Stem - 52""",2,848644017479
S4073-GORD,"Faux Crysanthemum Roblush Silk Flower Spray - 26""",2,848644018728
S4162-TTGR,"Cymbidium Leaf Artificial Plant Foliage Stem - 26""",2,848644018834
S4168-MU,"Faux Berry Foliage Stem Spray - 14""",2,848644018841
S4168-ORRD,"Faux Berry Foliage Stem Spray - 14""",2,848644018858
S4188-YL,"Large Sunflower Silk Flower Stem - 29""",2,848644017561
S4189-YL,"Medium Sunflower Silk Flower Stem - 29""",2,848644017578
S4220-BLCO,"Open Rose Silk Flower Stem - 29""",2,848644017585
S4220-LVMV,"Open Rose Silk Flower Stem - 29""",2,848644017592
S4220-PK,"Open Rose Silk Flower Stem - 29""",2,848644017608
S4220-RD,"Open Rose Silk Flower Stem - 29""",2,848644017615
S4220-SMPC,"Open Rose Silk Flower Stem - 29""",2,848644017622
S4220-WH,"Open Rose Silk Flower Stem - 29""",2,848644017639
S4220-YE,"Open Rose Silk Flower Stem - 29""",2,848644017646
S4221-BLCO,"Rose Bud Silk Flower Stem - 30""",2,848644017653
S4221-LVMV,"Rose Bud Silk Flower Stem - 30""",2,848644017660
S4221-PK,"Rose Bud Silk Flower Stem - 30""",2,848644017677
